stage,kata,split,name,seed,attempts,length_m,width_m,min_radius_m,mean_abs_curvature,turn_integral_rad,straight_fraction,direction_changes,bbox_m,difficulty_index,image_px,origin,n_waypoints
1,Taikyoku Shodan,train,kata_01_taikyoku_shodan_01,202700,1,57.0,4.39,6.14,0.1103,6.26,0.233,0,"[20.3, 13.5]",0.281,"[574, 437]","[-14.348, -10.925]",113
1,Taikyoku Shodan,train,kata_01_taikyoku_shodan_02,202701,1,70.0,4.03,6.66,0.0898,6.26,0.362,0,"[27.3, 13.4]",0.283,"[707, 430]","[-17.657, -10.731]",139
1,Taikyoku Shodan,train,kata_01_taikyoku_shodan_03,202702,1,62.0,4.25,7.33,0.1014,6.26,0.166,0,"[21.0, 16.3]",0.266,"[586, 491]","[-14.631, -12.267]",123
1,Taikyoku Shodan,train,kata_01_taikyoku_shodan_04,202703,1,55.0,4.33,6.83,0.1143,6.26,0.123,0,"[17.7, 15.7]",0.271,"[521, 480]","[-13.008, -11.999]",109
1,Taikyoku Shodan,train,kata_01_taikyoku_shodan_05,202704,1,65.0,4.01,8.44,0.0967,6.26,0.131,0,"[22.3, 17.5]",0.262,"[606, 510]","[-15.141, -12.743]",129
1,Taikyoku Shodan,train,kata_01_taikyoku_shodan_06,202705,1,56.0,4.14,6.49,0.1122,6.26,0.17,0,"[19.1, 14.5]",0.282,"[545, 453]","[-13.612, -11.319]",111
1,Taikyoku Shodan,train,kata_01_taikyoku_shodan_07,202706,1,78.0,4.35,7.99,0.0806,6.26,0.296,0,"[27.9, 17.9]",0.256,"[726, 526]","[-18.143, -13.137]",155
1,Taikyoku Shodan,train,kata_01_taikyoku_shodan_08,202707,1,60.0,4.25,6.66,0.1048,6.26,0.222,0,"[21.3, 14.4]",0.276,"[591, 454]","[-14.767, -11.342]",119
1,Taikyoku Shodan,train,kata_01_taikyoku_shodan_09,202708,1,74.0,4.26,8.09,0.0849,6.26,0.275,0,"[27.4, 16.5]",0.257,"[714, 496]","[-17.849, -12.39]",147
1,Taikyoku Shodan,train,kata_01_taikyoku_shodan_10,202709,1,60.0,4.34,7.48,0.1048,6.26,0.138,0,"[18.8, 17.6]",0.262,"[544, 519]","[-13.581, -12.973]",119
1,Taikyoku Shodan,eval,kata_01_taikyoku_shodan_e1,202750,1,59.0,4.24,8.25,0.1065,6.26,0.077,0,"[19.9, 16.7]",0.256,"[564, 499]","[-14.08, -12.452]",117
2,Taikyoku Nidan,train,kata_02_taikyoku_nidan_01,202800,2,84.0,4.12,5.48,0.0941,7.88,0.355,4,"[35.4, 12.8]",0.363,"[872, 420]","[-21.788, -11.218]",167
2,Taikyoku Nidan,train,kata_02_taikyoku_nidan_02,202801,1,97.0,3.9,4.56,0.0806,7.79,0.496,4,"[42.7, 11.2]",0.396,"[1013, 383]","[-25.331, -10.291]",193
2,Taikyoku Nidan,train,kata_02_taikyoku_nidan_03,202802,5,94.0,4.01,5.9,0.0899,8.43,0.373,4,"[39.7, 14.7]",0.362,"[954, 454]","[-23.838, -12.42]",187
