# x_m, y_m, w_tr_right_m, w_tr_left_m
0.000000, -6.731144, 2.193558, 2.193558
-0.504421, -6.731144, 2.193558, 2.193558
-1.008842, -6.731144, 2.193558, 2.193558
-1.513263, -6.731144, 2.193558, 2.193558
-2.017684, -6.731144, 2.193558, 2.193558
-2.522105, -6.731144, 2.193558, 2.193558
-3.026526, -6.731144, 2.193558, 2.193558
-3.530947, -6.731144, 2.193558, 2.193558
-4.035367, -6.730966, 2.193558, 2.193558
-4.539138, -6.708463, 2.193558, 2.193558
-5.039363, -6.644703, 2.193558, 2.193558
-5.532670, -6.540117, 2.193558, 2.193558
-6.015732, -6.395410, 2.193558, 2.193558
-6.485292, -6.211557, 2.193558, 2.193558
-6.938185, -5.989799, 2.193558, 2.193558
-7.371355, -5.731631, 2.193558, 2.193558
-7.781884, -5.438793, 2.193558, 2.193558
-8.167001, -5.113260, 2.193558, 2.193558
-8.524112, -4.757228, 2.193558, 2.193558
-8.850807, -4.373097, 2.193558, 2.193558
-9.144884, -3.963457, 2.193558, 2.193558
-9.404360, -3.531070, 2.193558, 2.193558
-9.627485, -3.078852, 2.193558, 2.193558
-9.812756, -2.609851, 2.193558, 2.193558
-9.958922, -2.127232, 2.193558, 2.193558
-10.064998, -1.634247, 2.193558, 2.193558
-10.130269, -1.134221, 2.193558, 2.193558
-10.154295, -0.630525, 2.193558, 2.193558
-10.154626, -0.126105, 2.193558, 2.193558
-10.154626, 0.378316, 2.193558, 2.193558
-10.147588, 0.882626, 2.193558, 2.193558
-10.102917, 1.384924, 2.193558, 2.193558
-10.017185, 1.881864, 2.193558, 2.193558
-9.890970, 2.370096, 2.193558, 2.193558
-9.725122, 2.846327, 2.193558, 2.193558
-9.520741, 3.307338, 2.193558, 2.193558
-9.279215, 3.750019, 2.193558, 2.193558
-9.002184, 4.171391, 2.193558, 2.193558
-8.691515, 4.568611, 2.193558, 2.193558
-8.349304, 4.939003, 2.193558, 2.193558
-7.977859, 5.280067, 2.193558, 2.193558
-7.579683, 5.589506, 2.193558, 2.193558
-7.157463, 5.865231, 2.193558, 2.193558
-6.714044, 6.105385, 2.193558, 2.193558
-6.252418, 6.308349, 2.193558, 2.193558
-5.775696, 6.472753, 2.193558, 2.193558
-5.287094, 6.597489, 2.193558, 2.193558
-4.789906, 6.681717, 2.193558, 2.193558
-4.287483, 6.724868, 2.193558, 2.193558
-3.783157, 6.731144, 2.193558, 2.193558
-3.278736, 6.731144, 2.193558, 2.193558
-2.774315, 6.731144, 2.193558, 2.193558
-2.269894, 6.731144, 2.193558, 2.193558
-1.765473, 6.731144, 2.193558, 2.193558
-1.261052, 6.731144, 2.193558, 2.193558
-0.756631, 6.731144, 2.193558, 2.193558
-0.252210, 6.731144, 2.193558, 2.193558
0.252210, 6.731144, 2.193558, 2.193558
0.756631, 6.731144, 2.193558, 2.193558
1.261052, 6.731144, 2.193558, 2.193558
1.765473, 6.731144, 2.193558, 2.193558
2.269894, 6.731144, 2.193558, 2.193558
2.774315, 6.731144, 2.193558, 2.193558
3.278736, 6.731144, 2.193558, 2.193558
3.783157, 6.731144, 2.193558, 2.193558
4.287483, 6.724868, 2.193558, 2.193558
4.789906, 6.681717, 2.193558, 2.193558
5.287094, 6.597489, 2.193558, 2.193558
5.775696, 6.472753, 2.193558, 2.193558
6.252418, 6.308349, 2.193558, 2.193558
6.714044, 6.105385, 2.193558, 2.193558
7.157463, 5.865231, 2.193558, 2.193558
7.579683, 5.589506, 2.193558, 2.193558
7.977859, 5.280067, 2.193558, 2.193558
8.349304, 4.939003, 2.193558, 2.193558
8.691515, 4.568611, 2.193558, 2.193558
9.002184, 4.171391, 2.193558, 2.193558
9.279215, 3.750019, 2.193558, 2.193558
9.520741, 3.307338, 2.193558, 2.193558
9.725122, 2.846327, 2.193558, 2.193558
9.890970, 2.370096, 2.193558, 2.193558
10.017185, 1.881864, 2.193558, 2.193558
10.102917, 1.384924, 2.193558, 2.193558
10.147588, 0.882626, 2.193558, 2.193558
10.154626, 0.378316, 2.193558, 2.193558
10.154626, -0.126105, 2.193558, 2.193558
10.154295, -0.630525, 2.193558, 2.193558
10.130269, -1.134221, 2.193558, 2.193558
10.064998, -1.634247, 2.193558, 2.193558
9.958922, -2.127232, 2.193558, 2.193558
9.812756, -2.609851, 2.193558, 2.193558
9.627485, -3.078852, 2.193558, 2.193558
9.404360, -3.531070, 2.193558, 2.193558
9.144884, -3.963457, 2.193558, 2.193558
8.850807, -4.373097, 2.193558, 2.193558
8.524112, -4.757228, 2.193558, 2.193558
8.167001, -5.113260, 2.193558, 2.193558
7.781884, -5.438793, 2.193558, 2.193558
7.371355, -5.731631, 2.193558, 2.193558
6.938185, -5.989799, 2.193558, 2.193558
6.485292, -6.211557, 2.193558, 2.193558
6.015732, -6.395410, 2.193558, 2.193558
5.532670, -6.540117, 2.193558, 2.193558
5.039363, -6.644703, 2.193558, 2.193558
4.539138, -6.708463, 2.193558, 2.193558
4.035367, -6.730966, 2.193558, 2.193558
3.530947, -6.731144, 2.193558, 2.193558
3.026526, -6.731144, 2.193558, 2.193558
2.522105, -6.731144, 2.193558, 2.193558
2.017684, -6.731144, 2.193558, 2.193558
1.513263, -6.731144, 2.193558, 2.193558
1.008842, -6.731144, 2.193558, 2.193558
0.504421, -6.731144, 2.193558, 2.193558
