# x_m, y_m, w_tr_right_m, w_tr_left_m
-0.000000, -8.331112, 2.120639, 2.120639
-0.504271, -8.331112, 2.120639, 2.120639
-1.008542, -8.331112, 2.120639, 2.120639
-1.512812, -8.331112, 2.120639, 2.120639
-2.017013, -8.325376, 2.120639, 2.120639
-2.520048, -8.291230, 2.120639, 2.120639
-3.020058, -8.226417, 2.120639, 2.120639
-3.515173, -8.131178, 2.120639, 2.120639
-4.003544, -8.005870, 2.120639, 2.120639
-4.483348, -7.850961, 2.120639, 2.120639
-4.952792, -7.667030, 2.120639, 2.120639
-5.410121, -7.454764, 2.120639, 2.120639
-5.853628, -7.214956, 2.120639, 2.120639
-6.281657, -6.948501, 2.120639, 2.120639
-6.692607, -6.656396, 2.120639, 2.120639
-7.084945, -6.339730, 2.120639, 2.120639
-7.457204, -5.999689, 2.120639, 2.120639
-7.807994, -5.637540, 2.120639, 2.120639
-8.136004, -5.254638, 2.120639, 2.120639
-8.440010, -4.852413, 2.120639, 2.120639
-8.718875, -4.432367, 2.120639, 2.120639
-8.971558, -3.996070, 2.120639, 2.120639
-9.197115, -3.545151, 2.120639, 2.120639
-9.394704, -3.081295, 2.120639, 2.120639
-9.563586, -2.606235, 2.120639, 2.120639
-9.703130, -2.121744, 2.120639, 2.120639
-9.812816, -1.629634, 2.120639, 2.120639
-9.892233, -1.131742, 2.120639, 2.120639
-9.941085, -0.629928, 2.120639, 2.120639
-9.959189, -0.126067, 2.120639, 2.120639
-9.954109, 0.378140, 2.120639, 2.120639
-9.920627, 0.881221, 2.120639, 2.120639
-9.856474, 1.381318, 2.120639, 2.120639
-9.761877, 1.876559, 2.120639, 2.120639
-9.637189, 2.365093, 2.120639, 2.120639
-9.482890, 2.845096, 2.120639, 2.120639
-9.299555, 3.314776, 2.120639, 2.120639
-9.087869, 3.772378, 2.120639, 2.120639
-8.848624, 4.216192, 2.120639, 2.120639
-8.582713, 4.644561, 2.120639, 2.120639
-8.291129, 5.055885, 2.120639, 2.120639
-7.974961, 5.448626, 2.120639, 2.120639
-7.635392, 5.821319, 2.120639, 2.120639
-7.273689, 6.172571, 2.120639, 2.120639
-6.891203, 6.501069, 2.120639, 2.120639
-6.489363, 6.805587, 2.120639, 2.120639
-6.069672, 7.084987, 2.120639, 2.120639
-5.633695, 7.338225, 2.120639, 2.120639
-5.183062, 7.564356, 2.120639, 2.120639
-4.719457, 7.762535, 2.120639, 2.120639
-4.244611, 7.932021, 2.120639, 2.120639
-3.760298, 8.072182, 2.120639, 2.120639
-3.268327, 8.182494, 2.120639, 2.120639
-2.770536, 8.262544, 2.120639, 2.120639
-2.268784, 8.312034, 2.120639, 2.120639
-1.764947, 8.330779, 2.120639, 2.120639
-1.260677, 8.331112, 2.120639, 2.120639
-0.756406, 8.331112, 2.120639, 2.120639
-0.252135, 8.331112, 2.120639, 2.120639
0.252135, 8.331112, 2.120639, 2.120639
0.756406, 8.331112, 2.120639, 2.120639
1.260677, 8.331112, 2.120639, 2.120639
1.764947, 8.330779, 2.120639, 2.120639
2.268784, 8.312034, 2.120639, 2.120639
2.770536, 8.262544, 2.120639, 2.120639
3.268327, 8.182494, 2.120639, 2.120639
3.760298, 8.072182, 2.120639, 2.120639
4.244611, 7.932021, 2.120639, 2.120639
4.719457, 7.762535, 2.120639, 2.120639
5.183062, 7.564356, 2.120639, 2.120639
5.633695, 7.338225, 2.120639, 2.120639
6.069672, 7.084987, 2.120639, 2.120639
6.489363, 6.805587, 2.120639, 2.120639
6.891203, 6.501069, 2.120639, 2.120639
7.273689, 6.172571, 2.120639, 2.120639
7.635392, 5.821319, 2.120639, 2.120639
7.974961, 5.448626, 2.120639, 2.120639
8.291129, 5.055885, 2.120639, 2.120639
8.582713, 4.644561, 2.120639, 2.120639
8.848624, 4.216192, 2.120639, 2.120639
9.087869, 3.772378, 2.120639, 2.120639
9.299555, 3.314776, 2.120639, 2.120639
9.482890, 2.845096, 2.120639, 2.120639
9.637189, 2.365093, 2.120639, 2.120639
9.761877, 1.876559, 2.120639, 2.120639
9.856474, 1.381318, 2.120639, 2.120639
9.920627, 0.881221, 2.120639, 2.120639
9.954109, 0.378140, 2.120639, 2.120639
9.959189, -0.126067, 2.120639, 2.120639
9.941085, -0.629928, 2.120639, 2.120639
9.892233, -1.131742, 2.120639, 2.120639
9.812816, -1.629634, 2.120639, 2.120639
9.703130, -2.121744, 2.120639, 2.120639
9.563586, -2.606235, 2.120639, 2.120639
9.394704, -3.081295, 2.120639, 2.120639
9.197115, -3.545151, 2.120639, 2.120639
8.971558, -3.996070, 2.120639, 2.120639
8.718875, -4.432367, 2.120639, 2.120639
8.440010, -4.852413, 2.120639, 2.120639
8.136004, -5.254638, 2.120639, 2.120639
7.807994, -5.637540, 2.120639, 2.120639
7.457204, -5.999689, 2.120639, 2.120639
7.084945, -6.339730, 2.120639, 2.120639
6.692607, -6.656396, 2.120639, 2.120639
6.281657, -6.948501, 2.120639, 2.120639
5.853628, -7.214956, 2.120639, 2.120639
5.410121, -7.454764, 2.120639, 2.120639
4.952792, -7.667030, 2.120639, 2.120639
4.483348, -7.850961, 2.120639, 2.120639
4.003544, -8.005870, 2.120639, 2.120639
3.515173, -8.131178, 2.120639, 2.120639
3.020058, -8.226417, 2.120639, 2.120639
2.520048, -8.291230, 2.120639, 2.120639
2.017013, -8.325376, 2.120639, 2.120639
1.512812, -8.331112, 2.120639, 2.120639
1.008542, -8.331112, 2.120639, 2.120639
0.504271, -8.331112, 2.120639, 2.120639
