# x_m, y_m, w_tr_right_m, w_tr_left_m
0.055901, 5.695784, 1.975842, 1.975842
0.558435, 5.695784, 1.975842, 1.975842
1.060969, 5.695784, 1.975842, 1.975842
1.563504, 5.695784, 1.975842, 1.975842
2.066038, 5.695784, 1.975842, 1.975842
2.568573, 5.695784, 1.975842, 1.975842
3.071107, 5.695784, 1.975842, 1.975842
3.573641, 5.695784, 1.975842, 1.975842
4.076176, 5.695784, 1.975842, 1.975842
4.578710, 5.695784, 1.975842, 1.975842
5.081244, 5.695784, 1.975842, 1.975842
5.583779, 5.695784, 1.975842, 1.975842
6.086313, 5.695784, 1.975842, 1.975842
6.588847, 5.695784, 1.975842, 1.975842
7.091382, 5.695784, 1.975842, 1.975842
7.593916, 5.695784, 1.975842, 1.975842
8.096450, 5.695784, 1.975842, 1.975842
8.598985, 5.695784, 1.975842, 1.975842
9.101519, 5.695784, 1.975842, 1.975842
9.604054, 5.695784, 1.975842, 1.975842
10.106588, 5.695784, 1.975842, 1.975842
10.609122, 5.695784, 1.975842, 1.975842
11.111657, 5.695784, 1.975842, 1.975842
11.614191, 5.695784, 1.975842, 1.975842
12.116725, 5.695784, 1.975842, 1.975842
12.619260, 5.695784, 1.975842, 1.975842
13.121794, 5.695784, 1.975842, 1.975842
13.624328, 5.695784, 1.975842, 1.975842
14.126863, 5.695784, 1.975842, 1.975842
14.629397, 5.695784, 1.975842, 1.975842
15.131931, 5.695784, 1.975842, 1.975842
15.634466, 5.695784, 1.975842, 1.975842
16.136998, 5.695422, 1.975842, 1.975842
16.638560, 5.667688, 1.975842, 1.975842
17.135152, 5.592000, 1.975842, 1.975842
17.622201, 5.469055, 1.975842, 1.975842
18.095221, 5.299986, 1.975842, 1.975842
18.549854, 5.086351, 1.975842, 1.975842
18.981914, 4.830116, 1.975842, 1.975842
19.387420, 4.533642, 1.975842, 1.975842
19.762637, 4.199661, 1.975842, 1.975842
20.104110, 3.831248, 1.975842, 1.975842
20.408692, 3.431797, 1.975842, 1.975842
