# x_m, y_m, w_tr_right_m, w_tr_left_m
0.056609, 6.145893, 1.900173, 1.900173
-0.446107, 6.145893, 1.900173, 1.900173
-0.948822, 6.145893, 1.900173, 1.900173
-1.451538, 6.145893, 1.900173, 1.900173
-1.954253, 6.145893, 1.900173, 1.900173
-2.456968, 6.145893, 1.900173, 1.900173
-2.959684, 6.145893, 1.900173, 1.900173
-3.462399, 6.145893, 1.900173, 1.900173
-3.965115, 6.145893, 1.900173, 1.900173
-4.467830, 6.145893, 1.900173, 1.900173
-4.970546, 6.145893, 1.900173, 1.900173
-5.473261, 6.145893, 1.900173, 1.900173
-5.975977, 6.145893, 1.900173, 1.900173
-6.478692, 6.145893, 1.900173, 1.900173
-6.981408, 6.145893, 1.900173, 1.900173
-7.484123, 6.145893, 1.900173, 1.900173
-7.986839, 6.145893, 1.900173, 1.900173
-8.489554, 6.145893, 1.900173, 1.900173
-8.992270, 6.145893, 1.900173, 1.900173
-9.494985, 6.145893, 1.900173, 1.900173
-9.997701, 6.145893, 1.900173, 1.900173
-10.500416, 6.145893, 1.900173, 1.900173
-11.003132, 6.145893, 1.900173, 1.900173
-11.505847, 6.145893, 1.900173, 1.900173
-12.008563, 6.145893, 1.900173, 1.900173
-12.511278, 6.145893, 1.900173, 1.900173
-13.013994, 6.145893, 1.900173, 1.900173
-13.516709, 6.145893, 1.900173, 1.900173
-14.019310, 6.139022, 1.900173, 1.900173
-14.519581, 6.091425, 1.900173, 1.900173
-15.013434, 5.998443, 1.900173, 1.900173
-15.496760, 5.860850, 1.900173, 1.900173
-15.965539, 5.679790, 1.900173, 1.900173
-16.415871, 5.456771, 1.900173, 1.900173
-16.844009, 5.193647, 1.900173, 1.900173
-17.246391, 4.892608, 1.900173, 1.900173
-17.619669, 4.556158, 1.900173, 1.900173
-17.960739, 4.187096, 1.900173, 1.900173
-18.266763, 3.788492, 1.900173, 1.900173
-18.535195, 3.363663, 1.900173, 1.900173
-18.763801, 2.916143, 1.900173, 1.900173
-18.950681, 2.449654, 1.900173, 1.900173
