# x_m, y_m, w_tr_right_m, w_tr_left_m
9.130637, 5.244955, 1.858714, 1.858714
9.633561, 5.244955, 1.858714, 1.858714
10.136484, 5.244955, 1.858714, 1.858714
10.639408, 5.244955, 1.858714, 1.858714
11.142332, 5.244955, 1.858714, 1.858714
11.645256, 5.244955, 1.858714, 1.858714
12.148180, 5.244955, 1.858714, 1.858714
12.651104, 5.244955, 1.858714, 1.858714
13.153670, 5.230445, 1.858714, 1.858714
13.652644, 5.169114, 1.858714, 1.858714
14.143424, 5.060153, 1.858714, 1.858714
14.621475, 4.904570, 1.858714, 1.858714
15.082378, 4.703801, 1.858714, 1.858714
15.521876, 4.459701, 1.858714, 1.858714
15.935904, 4.174527, 1.858714, 1.858714
16.320613, 3.850886, 1.858714, 1.858714
16.672464, 3.491799, 1.858714, 1.858714
16.988208, 3.100587, 1.858714, 1.858714
17.264927, 2.680866, 1.858714, 1.858714
17.500063, 2.236514, 1.858714, 1.858714
17.691444, 1.771638, 1.858714, 1.858714
17.837302, 1.290535, 1.858714, 1.858714
17.936289, 0.797651, 1.858714, 1.858714
17.987490, 0.297541, 1.858714, 1.858714
17.990432, -0.205174, 1.858714, 1.858714
17.945089, -0.705848, 1.858714, 1.858714
17.851880, -1.199852, 1.858714, 1.858714
17.711665, -1.682623, 1.858714, 1.858714
17.525742, -2.149699, 1.858714, 1.858714
17.295829, -2.596762, 1.858714, 1.858714
17.024050, -3.019683, 1.858714, 1.858714
16.712917, -3.414551, 1.858714, 1.858714
16.365306, -3.777719, 1.858714, 1.858714
15.984430, -4.105829, 1.858714, 1.858714
15.573807, -4.395850, 1.858714, 1.858714
15.137234, -4.645102, 1.858714, 1.858714
14.678744, -4.851281, 1.858714, 1.858714
14.202575, -5.012482, 1.858714, 1.858714
13.713128, -5.127215, 1.858714, 1.858714
13.214925, -5.194419, 1.858714, 1.858714
12.712569, -5.213984, 1.858714, 1.858714
12.209645, -5.213984, 1.858714, 1.858714
11.706721, -5.213984, 1.858714, 1.858714
11.203797, -5.213984, 1.858714, 1.858714
10.700874, -5.213984, 1.858714, 1.858714
10.197950, -5.213984, 1.858714, 1.858714
9.695026, -5.213984, 1.858714, 1.858714
9.192102, -5.213984, 1.858714, 1.858714
8.689178, -5.213984, 1.858714, 1.858714
8.186254, -5.213984, 1.858714, 1.858714
7.683330, -5.213984, 1.858714, 1.858714
7.180426, -5.216130, 1.858714, 1.858714
6.678745, -5.249258, 1.858714, 1.858714
6.181440, -5.323206, 1.858714, 1.858714
5.691826, -5.437480, 1.858714, 1.858714
5.213167, -5.591319, 1.858714, 1.858714
4.748655, -5.783697, 1.858714, 1.858714
4.301386, -6.013332, 1.858714, 1.858714
3.874183, -6.278456, 1.858714, 1.858714
3.456624, -6.558771, 1.858714, 1.858714
3.032762, -6.829268, 1.858714, 1.858714
2.588966, -7.065549, 1.858714, 1.858714
2.127373, -7.264834, 1.858714, 1.858714
1.651060, -7.425795, 1.858714, 1.858714
1.163204, -7.547359, 1.858714, 1.858714
0.667056, -7.628716, 1.858714, 1.858714
0.165926, -7.669322, 1.858714, 1.858714
-0.336927, -7.674457, 1.858714, 1.858714
-0.839576, -7.661567, 1.858714, 1.858714
-1.339567, -7.608642, 1.858714, 1.858714
-1.833573, -7.515100, 1.858714, 1.858714
-2.318298, -7.381567, 1.858714, 1.858714
-2.790512, -7.208933, 1.858714, 1.858714
-3.247066, -6.998348, 1.858714, 1.858714
-3.684916, -6.751218, 1.858714, 1.858714
-4.104805, -6.474469, 1.858714, 1.858714
-4.523033, -6.195164, 1.858714, 1.858714
-4.956460, -5.940350, 1.858714, 1.858714
-5.409233, -5.721746, 1.858714, 1.858714
-5.878333, -5.540810, 1.858714, 1.858714
-6.360632, -5.398749, 1.858714, 1.858714
-6.852915, -5.296510, 1.858714, 1.858714
-7.351901, -5.234786, 1.858714, 1.858714
-7.854260, -5.214011, 1.858714, 1.858714
-8.357184, -5.213984, 1.858714, 1.858714
-8.860108, -5.213984, 1.858714, 1.858714
-9.363032, -5.213984, 1.858714, 1.858714
