# x_m, y_m, w_tr_right_m, w_tr_left_m
-9.899822, 6.271114, 1.808122, 1.808122
-10.402500, 6.271114, 1.808122, 1.808122
-10.905177, 6.271114, 1.808122, 1.808122
-11.407855, 6.271114, 1.808122, 1.808122
-11.910532, 6.271114, 1.808122, 1.808122
-12.413210, 6.271114, 1.808122, 1.808122
-12.915887, 6.271114, 1.808122, 1.808122
-13.418460, 6.264542, 1.808122, 1.808122
-13.918899, 6.218990, 1.808122, 1.808122
-14.413459, 6.129967, 1.808122, 1.808122
-14.898370, 5.998150, 1.808122, 1.808122
-15.369938, 5.824545, 1.808122, 1.808122
-15.824568, 5.610475, 1.808122, 1.808122
-16.258797, 5.357570, 1.808122, 1.808122
-16.669314, 5.067758, 1.808122, 1.808122
-17.052991, 4.743248, 1.808122, 1.808122
-17.406905, 4.386513, 1.808122, 1.808122
-17.728359, 4.000270, 1.808122, 1.808122
-18.014902, 3.587465, 1.808122, 1.808122
-18.264351, 3.151241, 1.808122, 1.808122
-18.474806, 2.694925, 1.808122, 1.808122
-18.644661, 2.221992, 1.808122, 1.808122
-18.772624, 1.736048, 1.808122, 1.808122
-18.857718, 1.240796, 1.808122, 1.808122
-18.899295, 0.740009, 1.808122, 1.808122
-18.903872, 0.237393, 1.808122, 1.808122
-18.903872, -0.265285, 1.808122, 1.808122
-18.899597, -0.767907, 1.808122, 1.808122
-18.858621, -1.268747, 1.808122, 1.808122
-18.774122, -1.764105, 1.808122, 1.808122
-18.646743, -2.250205, 1.808122, 1.808122
-18.477455, -2.723344, 1.808122, 1.808122
-18.267548, -3.179916, 1.808122, 1.808122
-18.018622, -3.616441, 1.808122, 1.808122
-17.732573, -4.029593, 1.808122, 1.808122
-17.411582, -4.416224, 1.808122, 1.808122
-17.058095, -4.773386, 1.808122, 1.808122
-16.674806, -5.098359, 1.808122, 1.808122
-16.264635, -5.388665, 1.808122, 1.808122
-15.830709, -5.642093, 1.808122, 1.808122
-15.376334, -5.856711, 1.808122, 1.808122
-14.904973, -6.030884, 1.808122, 1.808122
-14.420218, -6.163284, 1.808122, 1.808122
-13.925763, -6.252902, 1.808122, 1.808122
-13.425376, -6.299056, 1.808122, 1.808122
-12.922811, -6.305930, 1.808122, 1.808122
-12.420133, -6.305930, 1.808122, 1.808122
-11.917456, -6.305930, 1.808122, 1.808122
-11.414778, -6.305930, 1.808122, 1.808122
-10.912100, -6.305930, 1.808122, 1.808122
-10.409423, -6.305930, 1.808122, 1.808122
-9.906745, -6.305930, 1.808122, 1.808122
-9.404068, -6.305930, 1.808122, 1.808122
-8.901390, -6.305930, 1.808122, 1.808122
-8.398713, -6.305930, 1.808122, 1.808122
-7.896035, -6.305930, 1.808122, 1.808122
-7.393359, -6.306226, 1.808122, 1.808122
-6.891284, -6.328078, 1.808122, 1.808122
-6.392282, -6.387702, 1.808122, 1.808122
-5.899190, -6.484759, 1.808122, 1.808122
-5.414811, -6.618696, 1.808122, 1.808122
-4.941899, -6.788754, 1.808122, 1.808122
-4.483152, -6.993984, 1.808122, 1.808122
-4.041214, -7.233270, 1.808122, 1.808122
-3.612266, -7.495347, 1.808122, 1.808122
-3.183816, -7.758245, 1.808122, 1.808122
-2.748956, -8.010204, 1.808122, 1.808122
-2.296645, -8.229255, 1.808122, 1.808122
-1.829098, -8.413554, 1.808122, 1.808122
-1.348996, -8.562096, 1.808122, 1.808122
-0.859067, -8.674037, 1.808122, 1.808122
-0.362099, -8.748741, 1.808122, 1.808122
0.139084, -8.785785, 1.808122, 1.808122
0.641682, -8.787763, 1.808122, 1.808122
1.143186, -8.755327, 1.808122, 1.808122
1.640818, -8.685193, 1.808122, 1.808122
2.131749, -8.577761, 1.808122, 1.808122
2.613189, -8.433640, 1.808122, 1.808122
3.082400, -8.253650, 1.808122, 1.808122
3.536714, -8.038815, 1.808122, 1.808122
3.973670, -7.790552, 1.808122, 1.808122
4.402120, -7.527653, 1.808122, 1.808122
4.830761, -7.265069, 1.808122, 1.808122
5.270471, -7.021737, 1.808122, 1.808122
5.727267, -6.812230, 1.808122, 1.808122
6.198553, -6.637740, 1.808122, 1.808122
6.681649, -6.499259, 1.808122, 1.808122
7.173809, -6.397575, 1.808122, 1.808122
7.672235, -6.333266, 1.808122, 1.808122
8.174094, -6.306698, 1.808122, 1.808122
8.676768, -6.305930, 1.808122, 1.808122
9.179446, -6.305930, 1.808122, 1.808122
9.682123, -6.305930, 1.808122, 1.808122
10.184801, -6.305930, 1.808122, 1.808122
10.687478, -6.305930, 1.808122, 1.808122
11.190156, -6.305930, 1.808122, 1.808122
11.692833, -6.305930, 1.808122, 1.808122
12.195511, -6.305930, 1.808122, 1.808122
12.698188, -6.305930, 1.808122, 1.808122
13.200863, -6.305345, 1.808122, 1.808122
13.702602, -6.277566, 1.808122, 1.808122
14.200007, -6.206134, 1.808122, 1.808122
14.689286, -6.091594, 1.808122, 1.808122
15.166712, -5.934819, 1.808122, 1.808122
15.628646, -5.737004, 1.808122, 1.808122
16.071568, -5.499655, 1.808122, 1.808122
16.492102, -5.224582, 1.808122, 1.808122
16.887043, -4.913881, 1.808122, 1.808122
17.253383, -4.569919, 1.808122, 1.808122
17.588329, -4.195318, 1.808122, 1.808122
17.889328, -3.792933, 1.808122, 1.808122
18.154088, -3.365830, 1.808122, 1.808122
18.380589, -2.917264, 1.808122, 1.808122
18.567106, -2.450652, 1.808122, 1.808122
18.712218, -1.969552, 1.808122, 1.808122
18.814819, -1.477629, 1.808122, 1.808122
18.874127, -0.978632, 1.808122, 1.808122
18.890326, -0.476362, 1.808122, 1.808122
18.890326, 0.026316, 1.808122, 1.808122
18.890201, 0.528993, 1.808122, 1.808122
18.867009, 1.030972, 1.808122, 1.808122
18.800127, 1.529016, 1.808122, 1.808122
18.690064, 2.019329, 1.808122, 1.808122
18.537658, 2.498174, 1.808122, 1.808122
18.344071, 2.961903, 1.808122, 1.808122
18.110779, 3.406982, 1.808122, 1.808122
17.839559, 3.830018, 1.808122, 1.808122
17.532478, 4.227788, 1.808122, 1.808122
17.191876, 4.597261, 1.808122, 1.808122
16.820349, 4.935621, 1.808122, 1.808122
16.420729, 5.240289, 1.808122, 1.808122
15.996060, 5.508944, 1.808122, 1.808122
15.549579, 5.739539, 1.808122, 1.808122
15.084689, 5.930316, 1.808122, 1.808122
14.604932, 6.079821, 1.808122, 1.808122
14.113964, 6.186916, 1.808122, 1.808122
13.615527, 6.250783, 1.808122, 1.808122
13.113419, 6.271114, 1.808122, 1.808122
12.610741, 6.271114, 1.808122, 1.808122
12.108064, 6.271114, 1.808122, 1.808122
11.605386, 6.271114, 1.808122, 1.808122
11.102709, 6.271114, 1.808122, 1.808122
10.600031, 6.271114, 1.808122, 1.808122
