# x_m, y_m, w_tr_right_m, w_tr_left_m
5.798069, -8.153770, 1.719149, 1.719149
6.170420, -7.818404, 1.719149, 1.719149
6.542771, -7.483038, 1.719149, 1.719149
6.915122, -7.147672, 1.719149, 1.719149
7.287473, -6.812307, 1.719149, 1.719149
7.659824, -6.476941, 1.719149, 1.719149
8.032175, -6.141575, 1.719149, 1.719149
8.404526, -5.806209, 1.719149, 1.719149
8.776877, -5.470843, 1.719149, 1.719149
9.149228, -5.135477, 1.719149, 1.719149
9.521579, -4.800111, 1.719149, 1.719149
9.893930, -4.464745, 1.719149, 1.719149
10.266281, -4.129379, 1.719149, 1.719149
10.638632, -3.794013, 1.719149, 1.719149
11.010983, -3.458647, 1.719149, 1.719149
11.383334, -3.123281, 1.719149, 1.719149
11.755685, -2.787915, 1.719149, 1.719149
12.128036, -2.452549, 1.719149, 1.719149
12.500387, -2.117183, 1.719149, 1.719149
12.872738, -1.781817, 1.719149, 1.719149
13.245089, -1.446452, 1.719149, 1.719149
13.617440, -1.111086, 1.719149, 1.719149
13.989791, -0.775720, 1.719149, 1.719149
14.362142, -0.440354, 1.719149, 1.719149
14.734493, -0.104988, 1.719149, 1.719149
15.106844, 0.230378, 1.719149, 1.719149
15.479195, 0.565744, 1.719149, 1.719149
15.851546, 0.901110, 1.719149, 1.719149
16.223897, 1.236476, 1.719149, 1.719149
16.595650, 1.572500, 1.719149, 1.719149
16.945809, 1.930735, 1.719149, 1.719149
17.261673, 2.319545, 1.719149, 1.719149
17.540585, 2.735659, 1.719149, 1.719149
17.780200, 3.175577, 1.719149, 1.719149
17.978501, 3.635598, 1.719149, 1.719149
18.133821, 4.111852, 1.719149, 1.719149
18.244853, 4.600333, 1.719149, 1.719149
18.310662, 5.096933, 1.719149, 1.719149
18.330697, 5.597472, 1.719149, 1.719149
18.304787, 6.097742, 1.719149, 1.719149
18.233151, 6.593534, 1.719149, 1.719149
18.116392, 7.080677, 1.719149, 1.719149
17.955492, 7.555073, 1.719149, 1.719149
17.751804, 8.012731, 1.719149, 1.719149
17.507042, 8.449803, 1.719149, 1.719149
17.223265, 8.862611, 1.719149, 1.719149
16.902860, 9.247683, 1.719149, 1.719149
16.548523, 9.601779, 1.719149, 1.719149
16.163233, 9.921921, 1.719149, 1.719149
15.750233, 10.205416, 1.719149, 1.719149
15.312996, 10.449879, 1.719149, 1.719149
14.855200, 10.653254, 1.719149, 1.719149
14.380697, 10.813830, 1.719149, 1.719149
13.896748, 10.943840, 1.719149, 1.719149
13.412474, 11.072657, 1.719149, 1.719149
12.928199, 11.201474, 1.719149, 1.719149
12.443925, 11.330290, 1.719149, 1.719149
11.959650, 11.459107, 1.719149, 1.719149
11.475376, 11.587924, 1.719149, 1.719149
10.991101, 11.716741, 1.719149, 1.719149
10.506827, 11.845558, 1.719149, 1.719149
10.022552, 11.974375, 1.719149, 1.719149
9.538278, 12.103191, 1.719149, 1.719149
9.054003, 12.232008, 1.719149, 1.719149
8.569729, 12.360825, 1.719149, 1.719149
8.085454, 12.489642, 1.719149, 1.719149
7.601180, 12.618459, 1.719149, 1.719149
7.116905, 12.747276, 1.719149, 1.719149
6.632631, 12.876092, 1.719149, 1.719149
6.148356, 13.004909, 1.719149, 1.719149
5.664082, 13.133726, 1.719149, 1.719149
5.179807, 13.262543, 1.719149, 1.719149
4.695533, 13.391360, 1.719149, 1.719149
4.211258, 13.520176, 1.719149, 1.719149
3.726984, 13.648993, 1.719149, 1.719149
3.242709, 13.777810, 1.719149, 1.719149
2.758435, 13.906627, 1.719149, 1.719149
2.274160, 14.035444, 1.719149, 1.719149
1.789886, 14.164261, 1.719149, 1.719149
1.305611, 14.293077, 1.719149, 1.719149
0.821337, 14.421894, 1.719149, 1.719149
0.337062, 14.550711, 1.719149, 1.719149
-0.147212, 14.679528, 1.719149, 1.719149
-0.631487, 14.808345, 1.719149, 1.719149
-1.115761, 14.937162, 1.719149, 1.719149
-1.600036, 15.065978, 1.719149, 1.719149
-2.084310, 15.194795, 1.719149, 1.719149
-2.568585, 15.323612, 1.719149, 1.719149
-3.052859, 15.452429, 1.719149, 1.719149
-3.537134, 15.581246, 1.719149, 1.719149
-4.021409, 15.710063, 1.719149, 1.719149
-4.507126, 15.833064, 1.719149, 1.719149
-5.001546, 15.913263, 1.719149, 1.719149
-5.501555, 15.942853, 1.719149, 1.719149
-6.001983, 15.921529, 1.719149, 1.719149
-6.497662, 15.849510, 1.719149, 1.719149
-6.983468, 15.727540, 1.719149, 1.719149
-7.454381, 15.556881, 1.719149, 1.719149
-7.905536, 15.339295, 1.719149, 1.719149
-8.332269, 15.077031, 1.719149, 1.719149
-8.730173, 14.772800, 1.719149, 1.719149
-9.095134, 14.429744, 1.719149, 1.719149
-9.423382, 14.051408, 1.719149, 1.719149
-9.711525, 13.641703, 1.719149, 1.719149
-9.956585, 13.204862, 1.719149, 1.719149
-10.156029, 12.745398, 1.719149, 1.719149
-10.307797, 12.268061, 1.719149, 1.719149
-10.410321, 11.777782, 1.719149, 1.719149
-10.464557, 11.279769, 1.719149, 1.719149
-10.504903, 10.780282, 1.719149, 1.719149
-10.545249, 10.280794, 1.719149, 1.719149
-10.585594, 9.781307, 1.719149, 1.719149
-10.625940, 9.281819, 1.719149, 1.719149
-10.666286, 8.782332, 1.719149, 1.719149
-10.706632, 8.282844, 1.719149, 1.719149
-10.746977, 7.783356, 1.719149, 1.719149
-10.787323, 7.283869, 1.719149, 1.719149
-10.827669, 6.784381, 1.719149, 1.719149
-10.868015, 6.284894, 1.719149, 1.719149
-10.908361, 5.785406, 1.719149, 1.719149
-10.948706, 5.285919, 1.719149, 1.719149
-10.989052, 4.786431, 1.719149, 1.719149
-11.029398, 4.286944, 1.719149, 1.719149
-11.069744, 3.787456, 1.719149, 1.719149
-11.110089, 3.287969, 1.719149, 1.719149
-11.150435, 2.788481, 1.719149, 1.719149
-11.190781, 2.288994, 1.719149, 1.719149
-11.231127, 1.789506, 1.719149, 1.719149
-11.271473, 1.290018, 1.719149, 1.719149
-11.311818, 0.790531, 1.719149, 1.719149
-11.352164, 0.291043, 1.719149, 1.719149
-11.392510, -0.208444, 1.719149, 1.719149
-11.432856, -0.707932, 1.719149, 1.719149
-11.473201, -1.207419, 1.719149, 1.719149
-11.513547, -1.706907, 1.719149, 1.719149
-11.553893, -2.206394, 1.719149, 1.719149
-11.594239, -2.705882, 1.719149, 1.719149
-11.634585, -3.205369, 1.719149, 1.719149
-11.674930, -3.704857, 1.719149, 1.719149
-11.715276, -4.204344, 1.719149, 1.719149
-11.755622, -4.703832, 1.719149, 1.719149
-11.795968, -5.203319, 1.719149, 1.719149
-11.836313, -5.702807, 1.719149, 1.719149
-11.876659, -6.202295, 1.719149, 1.719149
-11.917005, -6.701782, 1.719149, 1.719149
-11.957351, -7.201270, 1.719149, 1.719149
-11.997697, -7.700757, 1.719149, 1.719149
