# x_m, y_m, w_tr_right_m, w_tr_left_m
7.799314, -7.725580, 1.765207, 1.765207
8.199877, -7.425990, 1.765207, 1.765207
8.600441, -7.126400, 1.765207, 1.765207
9.001005, -6.826810, 1.765207, 1.765207
9.401569, -6.527220, 1.765207, 1.765207
9.802133, -6.227630, 1.765207, 1.765207
10.202696, -5.928040, 1.765207, 1.765207
10.603260, -5.628450, 1.765207, 1.765207
11.003824, -5.328860, 1.765207, 1.765207
11.404388, -5.029270, 1.765207, 1.765207
11.804951, -4.729680, 1.765207, 1.765207
12.205515, -4.430090, 1.765207, 1.765207
12.606079, -4.130500, 1.765207, 1.765207
13.006643, -3.830910, 1.765207, 1.765207
13.407206, -3.531320, 1.765207, 1.765207
13.807770, -3.231730, 1.765207, 1.765207
14.208334, -2.932140, 1.765207, 1.765207
14.608898, -2.632550, 1.765207, 1.765207
15.009462, -2.332960, 1.765207, 1.765207
15.410025, -2.033370, 1.765207, 1.765207
15.810589, -1.733780, 1.765207, 1.765207
16.211153, -1.434190, 1.765207, 1.765207
16.611717, -1.134600, 1.765207, 1.765207
17.012280, -0.835010, 1.765207, 1.765207
17.412844, -0.535420, 1.765207, 1.765207
17.813408, -0.235830, 1.765207, 1.765207
18.209057, 0.070073, 1.765207, 1.765207
18.574437, 0.411340, 1.765207, 1.765207
18.902326, 0.788771, 1.765207, 1.765207
19.189164, 1.198269, 1.765207, 1.765207
19.431838, 1.635388, 1.765207, 1.765207
19.627713, 2.095383, 1.765207, 1.765207
19.774665, 2.573262, 1.765207, 1.765207
19.871096, 3.063836, 1.765207, 1.765207
19.915962, 3.561780, 1.765207, 1.765207
19.908774, 4.061690, 1.765207, 1.765207
19.849612, 4.558138, 1.765207, 1.765207
19.739116, 5.045736, 1.765207, 1.765207
19.578487, 5.519191, 1.765207, 1.765207
19.369469, 5.973363, 1.765207, 1.765207
19.114330, 6.403322, 1.765207, 1.765207
18.815840, 6.804401, 1.765207, 1.765207
18.477238, 7.172246, 1.765207, 1.765207
18.102201, 7.502864, 1.765207, 1.765207
17.694800, 7.792667, 1.765207, 1.765207
17.259456, 8.038508, 1.765207, 1.765207
16.800896, 8.237719, 1.765207, 1.765207
16.330321, 8.407311, 1.765207, 1.765207
15.859520, 8.576285, 1.765207, 1.765207
15.388720, 8.745258, 1.765207, 1.765207
14.917919, 8.914232, 1.765207, 1.765207
14.447118, 9.083206, 1.765207, 1.765207
13.976317, 9.252180, 1.765207, 1.765207
13.505517, 9.421154, 1.765207, 1.765207
13.034716, 9.590128, 1.765207, 1.765207
12.563915, 9.759102, 1.765207, 1.765207
12.093114, 9.928075, 1.765207, 1.765207
11.622314, 10.097049, 1.765207, 1.765207
11.151513, 10.266023, 1.765207, 1.765207
10.680712, 10.434997, 1.765207, 1.765207
10.209911, 10.603971, 1.765207, 1.765207
9.739111, 10.772945, 1.765207, 1.765207
9.268310, 10.941918, 1.765207, 1.765207
8.797509, 11.110892, 1.765207, 1.765207
8.326708, 11.279866, 1.765207, 1.765207
7.855908, 11.448840, 1.765207, 1.765207
7.385107, 11.617814, 1.765207, 1.765207
6.914306, 11.786788, 1.765207, 1.765207
6.443505, 11.955762, 1.765207, 1.765207
5.972705, 12.124735, 1.765207, 1.765207
5.501904, 12.293709, 1.765207, 1.765207
5.031103, 12.462683, 1.765207, 1.765207
4.560302, 12.631657, 1.765207, 1.765207
4.089502, 12.800631, 1.765207, 1.765207
3.618701, 12.969605, 1.765207, 1.765207
3.147900, 13.138578, 1.765207, 1.765207
2.677099, 13.307552, 1.765207, 1.765207
2.206299, 13.476526, 1.765207, 1.765207
1.735498, 13.645500, 1.765207, 1.765207
1.264697, 13.814474, 1.765207, 1.765207
0.793896, 13.983448, 1.765207, 1.765207
0.323096, 14.152422, 1.765207, 1.765207
-0.147705, 14.321395, 1.765207, 1.765207
-0.618506, 14.490369, 1.765207, 1.765207
