# x_m, y_m, w_tr_right_m, w_tr_left_m
-10.601099, -7.685162, 1.799349, 1.799349
-11.050435, -7.463331, 1.799349, 1.799349
-11.499771, -7.241499, 1.799349, 1.799349
-11.949107, -7.019668, 1.799349, 1.799349
-12.398443, -6.797837, 1.799349, 1.799349
-12.847779, -6.576006, 1.799349, 1.799349
-13.297115, -6.354175, 1.799349, 1.799349
-13.746451, -6.132343, 1.799349, 1.799349
-14.195787, -5.910512, 1.799349, 1.799349
-14.645123, -5.688681, 1.799349, 1.799349
-15.094459, -5.466850, 1.799349, 1.799349
-15.543795, -5.245019, 1.799349, 1.799349
-15.993131, -5.023188, 1.799349, 1.799349
-16.442467, -4.801356, 1.799349, 1.799349
-16.891803, -4.579525, 1.799349, 1.799349
-17.341139, -4.357694, 1.799349, 1.799349
-17.790475, -4.135863, 1.799349, 1.799349
-18.239811, -3.914032, 1.799349, 1.799349
-18.689147, -3.692200, 1.799349, 1.799349
-19.138483, -3.470369, 1.799349, 1.799349
-19.587819, -3.248538, 1.799349, 1.799349
-20.037155, -3.026707, 1.799349, 1.799349
-20.486491, -2.804876, 1.799349, 1.799349
-20.935827, -2.583045, 1.799349, 1.799349
-21.385163, -2.361213, 1.799349, 1.799349
-21.834499, -2.139382, 1.799349, 1.799349
-22.283835, -1.917551, 1.799349, 1.799349
-22.733171, -1.695720, 1.799349, 1.799349
-23.182507, -1.473889, 1.799349, 1.799349
-23.631843, -1.252057, 1.799349, 1.799349
-24.081179, -1.030226, 1.799349, 1.799349
-24.530515, -0.808395, 1.799349, 1.799349
-24.977088, -0.581218, 1.799349, 1.799349
-25.396482, -0.307600, 1.799349, 1.799349
-25.777189, 0.017697, 1.799349, 1.799349
-26.112883, 0.389268, 1.799349, 1.799349
-26.397985, 0.800937, 1.799349, 1.799349
-26.627757, 1.245861, 1.799349, 1.799349
-26.798381, 1.716648, 1.799349, 1.799349
-26.907022, 2.205471, 1.799349, 1.799349
-26.951873, 2.704208, 1.799349, 1.799349
-26.932190, 3.204570, 1.799349, 1.799349
-26.848301, 3.698241, 1.799349, 1.799349
-26.701599, 4.177016, 1.799349, 1.799349
-26.494523, 4.632940, 1.799349, 1.799349
-26.230515, 5.058434, 1.799349, 1.799349
-25.913963, 5.446428, 1.799349, 1.799349
-25.550126, 5.790474, 1.799349, 1.799349
-25.145053, 6.084853, 1.799349, 1.799349
-24.705475, 6.324674, 1.799349, 1.799349
-24.238698, 6.505952, 1.799349, 1.799349
-23.752480, 6.625673, 1.799349, 1.799349
-23.254900, 6.681848, 1.799349, 1.799349
-22.754194, 6.673986, 1.799349, 1.799349
-22.254390, 6.637832, 1.799349, 1.799349
-21.754585, 6.601679, 1.799349, 1.799349
-21.254780, 6.565525, 1.799349, 1.799349
-20.754975, 6.529371, 1.799349, 1.799349
-20.255170, 6.493218, 1.799349, 1.799349
-19.755366, 6.457064, 1.799349, 1.799349
-19.255561, 6.420911, 1.799349, 1.799349
-18.755756, 6.384757, 1.799349, 1.799349
-18.255951, 6.348603, 1.799349, 1.799349
-17.756146, 6.312450, 1.799349, 1.799349
-17.256342, 6.276296, 1.799349, 1.799349
-16.756537, 6.240143, 1.799349, 1.799349
-16.256732, 6.203989, 1.799349, 1.799349
-15.756927, 6.167835, 1.799349, 1.799349
-15.257122, 6.131682, 1.799349, 1.799349
