# x_m, y_m, w_tr_right_m, w_tr_left_m
9.928243, 5.428493, 1.631697, 1.631697
9.555634, 5.765687, 1.631697, 1.631697
9.183025, 6.102880, 1.631697, 1.631697
8.810416, 6.440074, 1.631697, 1.631697
8.437808, 6.777268, 1.631697, 1.631697
8.065199, 7.114461, 1.631697, 1.631697
7.692590, 7.451655, 1.631697, 1.631697
7.319981, 7.788848, 1.631697, 1.631697
6.947372, 8.126042, 1.631697, 1.631697
6.574763, 8.463235, 1.631697, 1.631697
6.202154, 8.800429, 1.631697, 1.631697
5.829546, 9.137623, 1.631697, 1.631697
5.456937, 9.474816, 1.631697, 1.631697
5.084328, 9.812010, 1.631697, 1.631697
4.711719, 10.149203, 1.631697, 1.631697
4.321840, 10.465612, 1.631697, 1.631697
3.889581, 10.720997, 1.631697, 1.631697
3.423785, 10.908350, 1.631697, 1.631697
2.935185, 11.023744, 1.631697, 1.631697
2.434823, 11.064574, 1.631697, 1.631697
1.934003, 11.029924, 1.631697, 1.631697
1.439848, 10.938835, 1.631697, 1.631697
0.946361, 10.843925, 1.631697, 1.631697
0.452875, 10.749014, 1.631697, 1.631697
-0.040611, 10.654103, 1.631697, 1.631697
-0.534098, 10.559193, 1.631697, 1.631697
-1.027584, 10.464282, 1.631697, 1.631697
-1.521071, 10.369371, 1.631697, 1.631697
-2.014557, 10.274461, 1.631697, 1.631697
-2.508043, 10.179550, 1.631697, 1.631697
-3.001530, 10.084639, 1.631697, 1.631697
-3.495016, 9.989729, 1.631697, 1.631697
-3.988503, 9.894818, 1.631697, 1.631697
-4.481989, 9.799907, 1.631697, 1.631697
-4.975475, 9.704997, 1.631697, 1.631697
-5.468962, 9.610086, 1.631697, 1.631697
-5.962448, 9.515175, 1.631697, 1.631697
-6.455935, 9.420265, 1.631697, 1.631697
-6.949421, 9.325354, 1.631697, 1.631697
-7.442907, 9.230443, 1.631697, 1.631697
-7.936394, 9.135532, 1.631697, 1.631697
-8.425501, 9.021036, 1.631697, 1.631697
-8.900923, 8.858908, 1.631697, 1.631697
-9.357824, 8.650209, 1.631697, 1.631697
-9.791654, 8.397017, 1.631697, 1.631697
-10.198096, 8.101851, 1.631697, 1.631697
-10.573103, 7.767649, 1.631697, 1.631697
-10.912941, 7.397737, 1.631697, 1.631697
-11.214228, 6.995798, 1.631697, 1.631697
-11.473962, 6.565831, 1.631697, 1.631697
-11.689464, 6.112077, 1.631697, 1.631697
-11.858674, 5.639111, 1.631697, 1.631697
-11.979908, 5.151641, 1.631697, 1.631697
-12.051961, 4.654520, 1.631697, 1.631697
-12.097350, 4.154044, 1.631697, 1.631697
-12.142534, 3.653549, 1.631697, 1.631697
-12.187718, 3.153054, 1.631697, 1.631697
-12.232902, 2.652559, 1.631697, 1.631697
-12.278086, 2.152064, 1.631697, 1.631697
-12.323271, 1.651569, 1.631697, 1.631697
-12.368455, 1.151074, 1.631697, 1.631697
-12.413639, 0.650579, 1.631697, 1.631697
-12.458823, 0.150084, 1.631697, 1.631697
-12.504007, -0.350411, 1.631697, 1.631697
-12.549191, -0.850906, 1.631697, 1.631697
-12.594376, -1.351401, 1.631697, 1.631697
-12.639560, -1.851896, 1.631697, 1.631697
-12.684744, -2.352391, 1.631697, 1.631697
-12.729928, -2.852886, 1.631697, 1.631697
-12.775112, -3.353381, 1.631697, 1.631697
-12.820296, -3.853876, 1.631697, 1.631697
-12.865481, -4.354371, 1.631697, 1.631697
-12.910665, -4.854866, 1.631697, 1.631697
-12.955849, -5.355361, 1.631697, 1.631697
-12.989805, -5.856615, 1.631697, 1.631697
-12.976441, -6.358742, 1.631697, 1.631697
-12.912801, -6.857000, 1.631697, 1.631697
-12.799528, -7.346366, 1.631697, 1.631697
-12.637763, -7.821909, 1.631697, 1.631697
-12.429136, -8.278838, 1.631697, 1.631697
-12.175749, -8.712548, 1.631697, 1.631697
-11.880157, -9.118668, 1.631697, 1.631697
-11.545337, -9.493106, 1.631697, 1.631697
-11.174663, -9.832089, 1.631697, 1.631697
-10.771872, -10.132201, 1.631697, 1.631697
-10.341021, -10.390417, 1.631697, 1.631697
-9.886453, -10.604136, 1.631697, 1.631697
