# x_m, y_m, w_tr_right_m, w_tr_left_m
-1.688461, -14.200294, 1.510653, 1.510653
-2.091707, -14.498875, 1.510653, 1.510653
-2.494954, -14.797456, 1.510653, 1.510653
-2.898200, -15.096037, 1.510653, 1.510653
-3.301447, -15.394618, 1.510653, 1.510653
-3.704694, -15.693199, 1.510653, 1.510653
-4.107940, -15.991779, 1.510653, 1.510653
-4.511187, -16.290360, 1.510653, 1.510653
-4.914433, -16.588941, 1.510653, 1.510653
-5.317680, -16.887522, 1.510653, 1.510653
-5.720927, -17.186103, 1.510653, 1.510653
-6.124173, -17.484684, 1.510653, 1.510653
-6.527420, -17.783265, 1.510653, 1.510653
-6.930666, -18.081846, 1.510653, 1.510653
-7.333913, -18.380426, 1.510653, 1.510653
-7.737160, -18.679007, 1.510653, 1.510653
-8.140406, -18.977588, 1.510653, 1.510653
-8.543653, -19.276169, 1.510653, 1.510653
-8.950370, -19.569865, 1.510653, 1.510653
-9.390829, -19.809098, 1.510653, 1.510653
-9.863421, -19.976094, 1.510653, 1.510653
-10.356389, -20.066702, 1.510653, 1.510653
-10.857468, -20.078667, 1.510653, 1.510653
-11.354191, -20.011694, 1.510653, 1.510653
-11.834201, -19.867449, 1.510653, 1.510653
-12.285556, -19.649523, 1.510653, 1.510653
-12.697027, -19.363338, 1.510653, 1.510653
-13.058377, -19.016014, 1.510653, 1.510653
-13.360617, -18.616194, 1.510653, 1.510653
-13.596228, -18.173825, 1.510653, 1.510653
-13.759349, -17.699913, 1.510653, 1.510653
-13.845922, -17.206248, 1.510653, 1.510653
-13.853793, -16.705114, 1.510653, 1.510653
-13.783701, -16.208778, 1.510653, 1.510653
-13.682948, -15.717242, 1.510653, 1.510653
-13.582195, -15.225707, 1.510653, 1.510653
-13.481441, -14.734171, 1.510653, 1.510653
-13.380688, -14.242636, 1.510653, 1.510653
-13.279935, -13.751100, 1.510653, 1.510653
-13.179181, -13.259565, 1.510653, 1.510653
-13.078428, -12.768029, 1.510653, 1.510653
-12.977675, -12.276494, 1.510653, 1.510653
-12.876922, -11.784958, 1.510653, 1.510653
-12.776168, -11.293423, 1.510653, 1.510653
-12.675415, -10.801888, 1.510653, 1.510653
-12.574662, -10.310352, 1.510653, 1.510653
-12.473908, -9.818817, 1.510653, 1.510653
-12.373155, -9.327281, 1.510653, 1.510653
-12.272402, -8.835746, 1.510653, 1.510653
-12.171649, -8.344210, 1.510653, 1.510653
-12.070895, -7.852675, 1.510653, 1.510653
-11.970142, -7.361139, 1.510653, 1.510653
-11.869389, -6.869604, 1.510653, 1.510653
-11.768635, -6.378068, 1.510653, 1.510653
-11.667882, -5.886533, 1.510653, 1.510653
-11.567129, -5.394997, 1.510653, 1.510653
-11.466376, -4.903462, 1.510653, 1.510653
-11.365622, -4.411926, 1.510653, 1.510653
-11.264869, -3.920391, 1.510653, 1.510653
-11.164116, -3.428855, 1.510653, 1.510653
-11.063362, -2.937320, 1.510653, 1.510653
-10.962609, -2.445784, 1.510653, 1.510653
-10.861856, -1.954249, 1.510653, 1.510653
-10.761102, -1.462713, 1.510653, 1.510653
-10.660349, -0.971178, 1.510653, 1.510653
-10.580591, -0.476083, 1.510653, 1.510653
-10.562889, 0.025033, 1.510653, 1.510653
-10.607510, 0.524532, 1.510653, 1.510653
