# x_m, y_m, w_tr_right_m, w_tr_left_m
-7.948053, 9.293288, 1.586213, 1.586213
-8.399523, 9.078032, 1.586213, 1.586213
-8.850994, 8.862775, 1.586213, 1.586213
-9.302464, 8.647518, 1.586213, 1.586213
-9.753934, 8.432261, 1.586213, 1.586213
-10.205404, 8.217004, 1.586213, 1.586213
-10.656874, 8.001747, 1.586213, 1.586213
-11.108344, 7.786490, 1.586213, 1.586213
-11.559815, 7.571233, 1.586213, 1.586213
-12.011285, 7.355977, 1.586213, 1.586213
-12.462755, 7.140720, 1.586213, 1.586213
-12.914225, 6.925463, 1.586213, 1.586213
-13.365695, 6.710206, 1.586213, 1.586213
-13.817166, 6.494949, 1.586213, 1.586213
-14.268636, 6.279692, 1.586213, 1.586213
-14.720106, 6.064435, 1.586213, 1.586213
-15.171576, 5.849179, 1.586213, 1.586213
-15.622632, 5.633064, 1.586213, 1.586213
-16.057362, 5.386214, 1.586213, 1.586213
-16.463764, 5.095083, 1.586213, 1.586213
-16.837346, 4.762887, 1.586213, 1.586213
-17.173976, 4.393302, 1.586213, 1.586213
-17.469935, 3.990412, 1.586213, 1.586213
-17.721951, 3.558672, 1.586213, 1.586213
-17.927238, 3.102856, 1.586213, 1.586213
-18.083525, 2.628001, 1.586213, 1.586213
-18.189085, 2.139359, 1.586213, 1.586213
-18.242751, 1.642330, 1.586213, 1.586213
-18.262774, 1.142573, 1.586213, 1.586213
-18.281961, 0.642781, 1.586213, 1.586213
-18.301148, 0.142988, 1.586213, 1.586213
-18.320336, -0.356805, 1.586213, 1.586213
-18.339523, -0.856597, 1.586213, 1.586213
-18.358710, -1.356390, 1.586213, 1.586213
-18.377897, -1.856183, 1.586213, 1.586213
-18.397084, -2.355975, 1.586213, 1.586213
-18.416272, -2.855768, 1.586213, 1.586213
-18.435459, -3.355560, 1.586213, 1.586213
-18.440631, -3.855549, 1.586213, 1.586213
-18.399611, -4.353825, 1.586213, 1.586213
-18.311270, -4.845917, 1.586213, 1.586213
-18.176414, -5.327344, 1.586213, 1.586213
-17.996272, -5.793718, 1.586213, 1.586213
-17.772484, -6.240791, 1.586213, 1.586213
-17.507091, -6.664491, 1.586213, 1.586213
-17.202509, -7.060957, 1.586213, 1.586213
-16.861513, -7.426576, 1.586213, 1.586213
-16.487210, -7.758019, 1.586213, 1.586213
-16.083011, -8.052265, 1.586213, 1.586213
-15.652596, -8.306634, 1.586213, 1.586213
-15.199888, -8.518807, 1.586213, 1.586213
-14.729010, -8.686851, 1.586213, 1.586213
-14.244253, -8.809235, 1.586213, 1.586213
-13.750031, -8.884843, 1.586213, 1.586213
-13.251799, -8.928686, 1.586213, 1.586213
-12.753485, -8.971622, 1.586213, 1.586213
-12.255170, -9.014558, 1.586213, 1.586213
-11.756856, -9.057493, 1.586213, 1.586213
-11.258541, -9.100429, 1.586213, 1.586213
-10.760227, -9.143365, 1.586213, 1.586213
-10.261912, -9.186301, 1.586213, 1.586213
-9.763598, -9.229237, 1.586213, 1.586213
-9.265283, -9.272173, 1.586213, 1.586213
-8.766969, -9.315109, 1.586213, 1.586213
-8.268654, -9.358045, 1.586213, 1.586213
-7.770340, -9.400981, 1.586213, 1.586213
-7.272025, -9.443917, 1.586213, 1.586213
-6.773711, -9.486853, 1.586213, 1.586213
-6.275396, -9.529789, 1.586213, 1.586213
-5.777082, -9.572725, 1.586213, 1.586213
-5.278767, -9.615661, 1.586213, 1.586213
-4.780453, -9.658597, 1.586213, 1.586213
-4.282138, -9.701533, 1.586213, 1.586213
-3.783824, -9.744469, 1.586213, 1.586213
-3.285509, -9.787405, 1.586213, 1.586213
-2.787195, -9.830341, 1.586213, 1.586213
-2.288880, -9.873277, 1.586213, 1.586213
-1.790566, -9.916212, 1.586213, 1.586213
-1.292251, -9.959148, 1.586213, 1.586213
-0.793937, -10.002084, 1.586213, 1.586213
-0.295622, -10.045020, 1.586213, 1.586213
