# x_m, y_m, w_tr_right_m, w_tr_left_m
12.169526, -3.600984, 1.556155, 1.556155
11.768264, -3.899555, 1.556155, 1.556155
11.367001, -4.198127, 1.556155, 1.556155
10.965738, -4.496699, 1.556155, 1.556155
10.564475, -4.795271, 1.556155, 1.556155
10.163213, -5.093843, 1.556155, 1.556155
9.761950, -5.392414, 1.556155, 1.556155
9.360687, -5.690986, 1.556155, 1.556155
8.959425, -5.989558, 1.556155, 1.556155
8.558162, -6.288130, 1.556155, 1.556155
8.156899, -6.586701, 1.556155, 1.556155
7.755637, -6.885273, 1.556155, 1.556155
7.354374, -7.183845, 1.556155, 1.556155
6.953111, -7.482417, 1.556155, 1.556155
6.551848, -7.780989, 1.556155, 1.556155
6.150586, -8.079560, 1.556155, 1.556155
5.749323, -8.378132, 1.556155, 1.556155
5.348060, -8.676704, 1.556155, 1.556155
4.946798, -8.975276, 1.556155, 1.556155
4.545535, -9.273847, 1.556155, 1.556155
4.144272, -9.572419, 1.556155, 1.556155
3.735449, -9.860087, 1.556155, 1.556155
3.285725, -10.077198, 1.556155, 1.556155
2.803741, -10.207878, 1.556155, 1.556155
2.305944, -10.247668, 1.556155, 1.556155
1.809171, -10.195980, 1.556155, 1.556155
1.317298, -10.105327, 1.556155, 1.556155
0.825425, -10.014674, 1.556155, 1.556155
0.333552, -9.924021, 1.556155, 1.556155
-0.158321, -9.833368, 1.556155, 1.556155
-0.650194, -9.742715, 1.556155, 1.556155
-1.142066, -9.652061, 1.556155, 1.556155
-1.633939, -9.561408, 1.556155, 1.556155
-2.125812, -9.470755, 1.556155, 1.556155
-2.617685, -9.380102, 1.556155, 1.556155
-3.109558, -9.289449, 1.556155, 1.556155
-3.601431, -9.198796, 1.556155, 1.556155
-4.093303, -9.108143, 1.556155, 1.556155
-4.585176, -9.017490, 1.556155, 1.556155
-5.077049, -8.926836, 1.556155, 1.556155
-5.568922, -8.836183, 1.556155, 1.556155
-6.060795, -8.745530, 1.556155, 1.556155
-6.557476, -8.692579, 1.556155, 1.556155
-7.055625, -8.728335, 1.556155, 1.556155
-7.539403, -8.852414, 1.556155, 1.556155
-7.993283, -9.060837, 1.556155, 1.556155
-8.402698, -9.346919, 1.556155, 1.556155
-8.754503, -9.701486, 1.556155, 1.556155
-9.037315, -10.113213, 1.556155, 1.556155
-9.241908, -10.568884, 1.556155, 1.556155
-9.363358, -11.053472, 1.556155, 1.556155
-9.454011, -11.545345, 1.556155, 1.556155
-9.544665, -12.037218, 1.556155, 1.556155
-9.635318, -12.529090, 1.556155, 1.556155
-9.725971, -13.020963, 1.556155, 1.556155
-9.816624, -13.512836, 1.556155, 1.556155
-9.907277, -14.004709, 1.556155, 1.556155
-9.997930, -14.496582, 1.556155, 1.556155
-10.113395, -14.982504, 1.556155, 1.556155
-10.339726, -15.427020, 1.556155, 1.556155
-10.671360, -15.799600, 1.556155, 1.556155
-11.086362, -16.076212, 1.556155, 1.556155
-11.557775, -16.238916, 1.556155, 1.556155
-12.054989, -16.277163, 1.556155, 1.556155
-12.545724, -16.188475, 1.556155, 1.556155
-12.998117, -15.978603, 1.556155, 1.556155
-13.382793, -15.661160, 1.556155, 1.556155
-13.674761, -15.256736, 1.556155, 1.556155
-13.854579, -14.791454, 1.556155, 1.556155
-13.910778, -14.295860, 1.556155, 1.556155
-13.847838, -13.800482, 1.556155, 1.556155
-13.757185, -13.308610, 1.556155, 1.556155
-13.666532, -12.816737, 1.556155, 1.556155
-13.575878, -12.324864, 1.556155, 1.556155
-13.485225, -11.832991, 1.556155, 1.556155
-13.394572, -11.341118, 1.556155, 1.556155
-13.303919, -10.849246, 1.556155, 1.556155
-13.213266, -10.357373, 1.556155, 1.556155
-13.151880, -9.861542, 1.556155, 1.556155
-13.178501, -9.362755, 1.556155, 1.556155
-13.293699, -8.876747, 1.556155, 1.556155
-13.493770, -8.419116, 1.556155, 1.556155
-13.772287, -8.004544, 1.556155, 1.556155
-14.120308, -7.646334, 1.556155, 1.556155
-14.526665, -7.355981, 1.556155, 1.556155
-14.978314, -7.142803, 1.556155, 1.556155
-15.460672, -7.013114, 1.556155, 1.556155
-15.952544, -6.922461, 1.556155, 1.556155
-16.444417, -6.831808, 1.556155, 1.556155
-16.936290, -6.741155, 1.556155, 1.556155
-17.428163, -6.650502, 1.556155, 1.556155
-17.920036, -6.559849, 1.556155, 1.556155
-18.411796, -6.468615, 1.556155, 1.556155
-18.890887, -6.327631, 1.556155, 1.556155
-19.336040, -6.101260, 1.556155, 1.556155
-19.732186, -5.797164, 1.556155, 1.556155
-20.065915, -5.425637, 1.556155, 1.556155
-20.325928, -4.999257, 1.556155, 1.556155
-20.503424, -4.532455, 1.556155, 1.556155
-20.592394, -4.041036, 1.556155, 1.556155
-20.589826, -3.541633, 1.556155, 1.556155
-20.495807, -3.051153, 1.556155, 1.556155
-20.313518, -2.586199, 1.556155, 1.556155
-20.049131, -2.162510, 1.556155, 1.556155
-19.711595, -1.794431, 1.556155, 1.556155
-19.312336, -1.494420, 1.556155, 1.556155
-18.866109, -1.269677, 1.556155, 1.556155
-18.408200, -1.068491, 1.556155, 1.556155
-17.950291, -0.867305, 1.556155, 1.556155
-17.492381, -0.666118, 1.556155, 1.556155
-17.034472, -0.464932, 1.556155, 1.556155
-16.576563, -0.263745, 1.556155, 1.556155
-16.118654, -0.062559, 1.556155, 1.556155
-15.660744, 0.138627, 1.556155, 1.556155
-15.202835, 0.339814, 1.556155, 1.556155
-14.744926, 0.541000, 1.556155, 1.556155
-14.287016, 0.742186, 1.556155, 1.556155
-13.829107, 0.943373, 1.556155, 1.556155
-13.371198, 1.144559, 1.556155, 1.556155
-12.913289, 1.345745, 1.556155, 1.556155
-12.455379, 1.546932, 1.556155, 1.556155
-11.997470, 1.748118, 1.556155, 1.556155
-11.539561, 1.949305, 1.556155, 1.556155
-11.081652, 2.150491, 1.556155, 1.556155
-10.623742, 2.351677, 1.556155, 1.556155
-10.165833, 2.552864, 1.556155, 1.556155
-9.707924, 2.754050, 1.556155, 1.556155
-9.250014, 2.955236, 1.556155, 1.556155
-8.792105, 3.156423, 1.556155, 1.556155
-8.334196, 3.357609, 1.556155, 1.556155
-7.876287, 3.558795, 1.556155, 1.556155
-7.418377, 3.759982, 1.556155, 1.556155
-6.960468, 3.961168, 1.556155, 1.556155
-6.502559, 4.162354, 1.556155, 1.556155
-6.044649, 4.363541, 1.556155, 1.556155
-5.586740, 4.564727, 1.556155, 1.556155
-5.130730, 4.770004, 1.556155, 1.556155
-4.709627, 5.038292, 1.556155, 1.556155
-4.345159, 5.379998, 1.556155, 1.556155
-3.998229, 5.740270, 1.556155, 1.556155
-3.651298, 6.100542, 1.556155, 1.556155
-3.304368, 6.460815, 1.556155, 1.556155
-2.957437, 6.821087, 1.556155, 1.556155
-2.610507, 7.181359, 1.556155, 1.556155
-2.263576, 7.541631, 1.556155, 1.556155
-1.916646, 7.901904, 1.556155, 1.556155
-1.569715, 8.262176, 1.556155, 1.556155
-1.222785, 8.622448, 1.556155, 1.556155
-0.875854, 8.982720, 1.556155, 1.556155
-0.528923, 9.342992, 1.556155, 1.556155
-0.181993, 9.703265, 1.556155, 1.556155
0.164938, 10.063537, 1.556155, 1.556155
0.511868, 10.423809, 1.556155, 1.556155
0.858799, 10.784081, 1.556155, 1.556155
1.205729, 11.144354, 1.556155, 1.556155
1.552660, 11.504626, 1.556155, 1.556155
1.899590, 11.864898, 1.556155, 1.556155
2.246521, 12.225170, 1.556155, 1.556155
2.593451, 12.585442, 1.556155, 1.556155
2.940382, 12.945715, 1.556155, 1.556155
3.287312, 13.305987, 1.556155, 1.556155
3.634243, 13.666259, 1.556155, 1.556155
3.981173, 14.026531, 1.556155, 1.556155
4.328104, 14.386804, 1.556155, 1.556155
4.675034, 14.747076, 1.556155, 1.556155
5.021965, 15.107348, 1.556155, 1.556155
5.368895, 15.467620, 1.556155, 1.556155
5.715826, 15.827893, 1.556155, 1.556155
6.062756, 16.188165, 1.556155, 1.556155
6.409687, 16.548437, 1.556155, 1.556155
6.759137, 16.906202, 1.556155, 1.556155
7.146310, 17.222009, 1.556155, 1.556155
7.576879, 17.475482, 1.556155, 1.556155
8.040894, 17.660762, 1.556155, 1.556155
8.527634, 17.773567, 1.556155, 1.556155
9.025851, 17.811291, 1.556155, 1.556155
9.524031, 17.773060, 1.556155, 1.556155
10.010663, 17.659758, 1.556155, 1.556155
10.474500, 17.474002, 1.556155, 1.556155
10.904825, 17.220084, 1.556155, 1.556155
11.291692, 16.903870, 1.556155, 1.556155
11.637826, 16.542930, 1.556155, 1.556155
11.980161, 16.178288, 1.556155, 1.556155
12.322497, 15.813647, 1.556155, 1.556155
12.664832, 15.449005, 1.556155, 1.556155
13.007167, 15.084364, 1.556155, 1.556155
13.349502, 14.719722, 1.556155, 1.556155
13.691838, 14.355081, 1.556155, 1.556155
14.034173, 13.990439, 1.556155, 1.556155
14.376508, 13.625798, 1.556155, 1.556155
14.718844, 13.261156, 1.556155, 1.556155
15.061179, 12.896515, 1.556155, 1.556155
15.403514, 12.531873, 1.556155, 1.556155
15.745849, 12.167232, 1.556155, 1.556155
16.088185, 11.802590, 1.556155, 1.556155
16.430520, 11.437949, 1.556155, 1.556155
16.772855, 11.073307, 1.556155, 1.556155
17.115190, 10.708666, 1.556155, 1.556155
17.457526, 10.344024, 1.556155, 1.556155
17.799861, 9.979383, 1.556155, 1.556155
18.142196, 9.614741, 1.556155, 1.556155
18.484532, 9.250100, 1.556155, 1.556155
18.826867, 8.885458, 1.556155, 1.556155
19.169202, 8.520817, 1.556155, 1.556155
19.511537, 8.156175, 1.556155, 1.556155
19.853873, 7.791534, 1.556155, 1.556155
20.196208, 7.426892, 1.556155, 1.556155
20.538543, 7.062251, 1.556155, 1.556155
20.880018, 6.696816, 1.556155, 1.556155
21.178872, 6.296648, 1.556155, 1.556155
21.402070, 5.849850, 1.556155, 1.556155
21.542546, 5.370569, 1.556155, 1.556155
21.595852, 4.873980, 1.556155, 1.556155
21.560302, 4.375805, 1.556155, 1.556155
21.437020, 3.891817, 1.556155, 1.556155
21.229911, 3.437342, 1.556155, 1.556155
20.945530, 3.026767, 1.556155, 1.556155
20.592883, 2.673093, 1.556155, 1.556155
20.194780, 2.370452, 1.556155, 1.556155
19.793518, 2.071880, 1.556155, 1.556155
19.392255, 1.773308, 1.556155, 1.556155
18.990992, 1.474737, 1.556155, 1.556155
18.589729, 1.176165, 1.556155, 1.556155
18.188467, 0.877593, 1.556155, 1.556155
17.787204, 0.579021, 1.556155, 1.556155
17.385941, 0.280450, 1.556155, 1.556155
16.984679, -0.018122, 1.556155, 1.556155
16.583416, -0.316694, 1.556155, 1.556155
16.182153, -0.615266, 1.556155, 1.556155
15.780891, -0.913838, 1.556155, 1.556155
15.379628, -1.212409, 1.556155, 1.556155
14.978365, -1.510981, 1.556155, 1.556155
14.577102, -1.809553, 1.556155, 1.556155
14.175840, -2.108125, 1.556155, 1.556155
13.774577, -2.406697, 1.556155, 1.556155
13.373314, -2.705268, 1.556155, 1.556155
12.972052, -3.003840, 1.556155, 1.556155
12.570789, -3.302412, 1.556155, 1.556155
