# x_m, y_m, w_tr_right_m, w_tr_left_m
-5.339929, -12.423896, 1.514079, 1.514079
-5.786218, -12.194759, 1.514079, 1.514079
-6.232508, -11.965623, 1.514079, 1.514079
-6.678797, -11.736486, 1.514079, 1.514079
-7.125086, -11.507350, 1.514079, 1.514079
-7.571376, -11.278213, 1.514079, 1.514079
-8.017665, -11.049077, 1.514079, 1.514079
-8.463955, -10.819940, 1.514079, 1.514079
-8.910244, -10.590804, 1.514079, 1.514079
-9.356533, -10.361667, 1.514079, 1.514079
-9.802823, -10.132530, 1.514079, 1.514079
-10.249112, -9.903394, 1.514079, 1.514079
-10.695401, -9.674257, 1.514079, 1.514079
-11.141691, -9.445121, 1.514079, 1.514079
-11.587980, -9.215984, 1.514079, 1.514079
-12.034270, -8.986848, 1.514079, 1.514079
-12.480559, -8.757711, 1.514079, 1.514079
-12.926848, -8.528575, 1.514079, 1.514079
-13.373138, -8.299438, 1.514079, 1.514079
-13.819427, -8.070302, 1.514079, 1.514079
-14.265717, -7.841165, 1.514079, 1.514079
-14.712006, -7.612029, 1.514079, 1.514079
-15.158295, -7.382892, 1.514079, 1.514079
-15.604585, -7.153756, 1.514079, 1.514079
-16.050874, -6.924619, 1.514079, 1.514079
-16.497163, -6.695482, 1.514079, 1.514079
-16.943453, -6.466346, 1.514079, 1.514079
-17.389742, -6.237209, 1.514079, 1.514079
-17.836032, -6.008073, 1.514079, 1.514079
-18.282321, -5.778936, 1.514079, 1.514079
-18.728610, -5.549800, 1.514079, 1.514079
-19.161512, -5.297154, 1.514079, 1.514079
-19.549708, -4.980198, 1.514079, 1.514079
-19.882641, -4.605608, 1.514079, 1.514079
-20.151882, -4.182920, 1.514079, 1.514079
-20.350658, -3.722885, 1.514079, 1.514079
-20.473939, -3.237152, 1.514079, 1.514079
-20.518606, -2.738022, 1.514079, 1.514079
-20.483532, -2.238133, 1.514079, 1.514079
-20.369605, -1.750143, 1.514079, 1.514079
-20.179713, -1.286409, 1.514079, 1.514079
-19.918664, -0.858672, 1.514079, 1.514079
-19.593071, -0.477762, 1.514079, 1.514079
-19.211177, -0.153325, 1.514079, 1.514079
-18.787632, 0.115192, 1.514079, 1.514079
-18.358294, 0.374705, 1.514079, 1.514079
-17.928957, 0.634218, 1.514079, 1.514079
-17.499619, 0.893731, 1.514079, 1.514079
-17.070282, 1.153244, 1.514079, 1.514079
-16.640944, 1.412757, 1.514079, 1.514079
-16.211606, 1.672270, 1.514079, 1.514079
-15.782269, 1.931783, 1.514079, 1.514079
-15.352931, 2.191296, 1.514079, 1.514079
-14.923594, 2.450809, 1.514079, 1.514079
-14.494256, 2.710322, 1.514079, 1.514079
-14.064919, 2.969835, 1.514079, 1.514079
-13.635581, 3.229348, 1.514079, 1.514079
-13.206243, 3.488861, 1.514079, 1.514079
-12.776906, 3.748374, 1.514079, 1.514079
-12.347568, 4.007887, 1.514079, 1.514079
-11.918231, 4.267401, 1.514079, 1.514079
-11.488893, 4.526914, 1.514079, 1.514079
-11.059556, 4.786427, 1.514079, 1.514079
-10.630218, 5.045940, 1.514079, 1.514079
-10.200880, 5.305453, 1.514079, 1.514079
-9.771543, 5.564966, 1.514079, 1.514079
-9.342205, 5.824479, 1.514079, 1.514079
-8.912868, 6.083992, 1.514079, 1.514079
-8.483530, 6.343505, 1.514079, 1.514079
-8.054193, 6.603018, 1.514079, 1.514079
-7.626933, 6.865825, 1.514079, 1.514079
-7.239856, 7.183741, 1.514079, 1.514079
-6.918405, 7.567890, 1.514079, 1.514079
-6.673719, 8.004962, 1.514079, 1.514079
-6.514278, 8.479813, 1.514079, 1.514079
-6.445605, 8.975989, 1.514079, 1.514079
-6.470082, 9.476300, 1.514079, 1.514079
-6.586862, 9.963408, 1.514079, 1.514079
-6.791899, 10.420437, 1.514079, 1.514079
-7.050167, 10.850511, 1.514079, 1.514079
-7.309680, 11.279848, 1.514079, 1.514079
-7.569193, 11.709186, 1.514079, 1.514079
-7.828706, 12.138524, 1.514079, 1.514079
-8.088219, 12.567861, 1.514079, 1.514079
-8.347733, 12.997199, 1.514079, 1.514079
-8.607246, 13.426536, 1.514079, 1.514079
-8.811721, 13.883100, 1.514079, 1.514079
-8.891349, 14.376922, 1.514079, 1.514079
-8.840290, 14.874513, 1.514079, 1.514079
-8.662031, 15.341878, 1.514079, 1.514079
-8.368749, 15.747087, 1.514079, 1.514079
-7.980478, 16.062457, 1.514079, 1.514079
-7.523744, 16.266441, 1.514079, 1.514079
-7.029749, 16.345102, 1.514079, 1.514079
-6.532241, 16.293064, 1.514079, 1.514079
-6.065210, 16.113880, 1.514079, 1.514079
-5.660562, 15.819791, 1.514079, 1.514079
-5.345943, 15.430886, 1.514079, 1.514079
-5.086200, 15.001692, 1.514079, 1.514079
-4.826687, 14.572355, 1.514079, 1.514079
-4.567174, 14.143017, 1.514079, 1.514079
-4.307661, 13.713680, 1.514079, 1.514079
-4.048148, 13.284342, 1.514079, 1.514079
-3.788635, 12.855004, 1.514079, 1.514079
-3.528341, 12.426148, 1.514079, 1.514079
-3.223176, 12.028952, 1.514079, 1.514079
-2.849682, 11.695194, 1.514079, 1.514079
-2.420801, 11.436441, 1.514079, 1.514079
-1.951394, 11.261658, 1.514079, 1.514079
-1.457724, 11.176901, 1.514079, 1.514079
-0.956898, 11.185107, 1.514079, 1.514079
-0.466268, 11.285993, 1.514079, 1.514079
-0.002835, 11.476064, 1.514079, 1.514079
0.429237, 11.730825, 1.514079, 1.514079
0.858574, 11.990338, 1.514079, 1.514079
1.287912, 12.249852, 1.514079, 1.514079
1.717249, 12.509365, 1.514079, 1.514079
2.146587, 12.768878, 1.514079, 1.514079
2.575924, 13.028391, 1.514079, 1.514079
3.005262, 13.287904, 1.514079, 1.514079
3.434600, 13.547417, 1.514079, 1.514079
3.863937, 13.806930, 1.514079, 1.514079
4.293275, 14.066443, 1.514079, 1.514079
4.722612, 14.325956, 1.514079, 1.514079
5.151950, 14.585469, 1.514079, 1.514079
5.581287, 14.844982, 1.514079, 1.514079
6.010625, 15.104495, 1.514079, 1.514079
6.439963, 15.364008, 1.514079, 1.514079
6.869300, 15.623521, 1.514079, 1.514079
7.298638, 15.883034, 1.514079, 1.514079
7.727975, 16.142547, 1.514079, 1.514079
