# x_m, y_m, w_tr_right_m, w_tr_left_m
-3.776924, -7.409163, 1.568913, 1.568913
-4.211220, -7.657634, 1.568913, 1.568913
-4.645516, -7.906106, 1.568913, 1.568913
-5.079812, -8.154577, 1.568913, 1.568913
-5.514108, -8.403048, 1.568913, 1.568913
-5.948404, -8.651519, 1.568913, 1.568913
-6.382700, -8.899991, 1.568913, 1.568913
-6.816996, -9.148462, 1.568913, 1.568913
-7.251292, -9.396933, 1.568913, 1.568913
-7.685588, -9.645404, 1.568913, 1.568913
-8.119884, -9.893875, 1.568913, 1.568913
-8.554180, -10.142347, 1.568913, 1.568913
-8.988476, -10.390818, 1.568913, 1.568913
-9.422772, -10.639289, 1.568913, 1.568913
-9.857068, -10.887760, 1.568913, 1.568913
-10.291885, -11.135304, 1.568913, 1.568913
-10.748218, -11.339156, 1.568913, 1.568913
-11.230836, -11.469049, 1.568913, 1.568913
-11.727840, -11.521782, 1.568913, 1.568913
-12.226978, -11.496053, 1.568913, 1.568913
-12.715945, -11.392494, 1.568913, 1.568913
-13.182683, -11.213653, 1.568913, 1.568913
-13.615666, -10.963909, 1.568913, 1.568913
-14.004035, -10.649243, 1.568913, 1.568913
-14.356047, -10.293691, 1.568913, 1.568913
-14.706548, -9.936619, 1.568913, 1.568913
-15.057048, -9.579547, 1.568913, 1.568913
-15.407549, -9.222475, 1.568913, 1.568913
-15.758049, -8.865403, 1.568913, 1.568913
-16.108550, -8.508331, 1.568913, 1.568913
-16.459050, -8.151259, 1.568913, 1.568913
-16.809551, -7.794187, 1.568913, 1.568913
-17.160051, -7.437115, 1.568913, 1.568913
-17.510551, -7.080043, 1.568913, 1.568913
-17.861052, -6.722971, 1.568913, 1.568913
-18.211552, -6.365899, 1.568913, 1.568913
-18.562053, -6.008827, 1.568913, 1.568913
-18.912553, -5.651755, 1.568913, 1.568913
-19.263054, -5.294683, 1.568913, 1.568913
-19.613554, -4.937611, 1.568913, 1.568913
-19.964055, -4.580539, 1.568913, 1.568913
-20.314555, -4.223468, 1.568913, 1.568913
-20.665056, -3.866396, 1.568913, 1.568913
-21.012569, -3.506488, 1.568913, 1.568913
-21.317389, -3.110315, 1.568913, 1.568913
-21.561053, -2.673856, 1.568913, 1.568913
-21.738330, -2.206480, 1.568913, 1.568913
-21.845417, -1.718218, 1.568913, 1.568913
-21.880015, -1.219550, 1.568913, 1.568913
-21.841380, -0.721179, 1.568913, 1.568913
-21.730343, -0.233800, 1.568913, 1.568913
-21.549286, 0.232124, 1.568913, 1.568913
-21.302097, 0.666593, 1.568913, 1.568913
-20.994079, 1.060284, 1.568913, 1.568913
-20.631845, 1.404744, 1.568913, 1.568913
-20.233437, 1.707355, 1.568913, 1.568913
-19.832692, 2.006946, 1.568913, 1.568913
-19.431947, 2.306537, 1.568913, 1.568913
-19.031202, 2.606127, 1.568913, 1.568913
-18.630457, 2.905718, 1.568913, 1.568913
-18.229712, 3.205308, 1.568913, 1.568913
-17.828967, 3.504899, 1.568913, 1.568913
-17.428222, 3.804489, 1.568913, 1.568913
-17.027478, 4.104080, 1.568913, 1.568913
-16.626733, 4.403671, 1.568913, 1.568913
-16.225988, 4.703261, 1.568913, 1.568913
-15.825243, 5.002852, 1.568913, 1.568913
-15.424498, 5.302442, 1.568913, 1.568913
-15.023753, 5.602033, 1.568913, 1.568913
-14.623008, 5.901623, 1.568913, 1.568913
-14.222263, 6.201214, 1.568913, 1.568913
-13.821519, 6.500804, 1.568913, 1.568913
-13.420774, 6.800395, 1.568913, 1.568913
-13.020029, 7.099986, 1.568913, 1.568913
-12.619284, 7.399576, 1.568913, 1.568913
-12.218539, 7.699167, 1.568913, 1.568913
-11.817794, 7.998757, 1.568913, 1.568913
-11.417049, 8.298348, 1.568913, 1.568913
-11.016304, 8.597938, 1.568913, 1.568913
-10.615560, 8.897529, 1.568913, 1.568913
-10.214815, 9.197120, 1.568913, 1.568913
-9.814070, 9.496710, 1.568913, 1.568913
-9.413325, 9.796301, 1.568913, 1.568913
-9.012580, 10.095891, 1.568913, 1.568913
-8.609708, 10.392534, 1.568913, 1.568913
-8.175478, 10.640002, 1.568913, 1.568913
-7.707749, 10.816200, 1.568913, 1.568913
-7.218113, 10.916674, 1.568913, 1.568913
-6.719128, 10.952289, 1.568913, 1.568913
-6.219604, 10.981050, 1.568913, 1.568913
-5.720081, 11.009811, 1.568913, 1.568913
-5.220557, 11.038572, 1.568913, 1.568913
-4.721033, 11.067333, 1.568913, 1.568913
-4.221510, 11.096094, 1.568913, 1.568913
-3.721986, 11.124854, 1.568913, 1.568913
-3.222463, 11.153615, 1.568913, 1.568913
-2.722939, 11.182376, 1.568913, 1.568913
-2.223416, 11.211137, 1.568913, 1.568913
-1.723892, 11.239898, 1.568913, 1.568913
-1.224369, 11.268659, 1.568913, 1.568913
-0.724845, 11.297420, 1.568913, 1.568913
-0.225322, 11.326181, 1.568913, 1.568913
0.274202, 11.354941, 1.568913, 1.568913
0.773726, 11.383702, 1.568913, 1.568913
1.273249, 11.412463, 1.568913, 1.568913
1.772773, 11.441224, 1.568913, 1.568913
2.272296, 11.469985, 1.568913, 1.568913
2.771820, 11.498746, 1.568913, 1.568913
3.271343, 11.527507, 1.568913, 1.568913
3.770867, 11.556267, 1.568913, 1.568913
4.270390, 11.585028, 1.568913, 1.568913
4.769914, 11.613789, 1.568913, 1.568913
5.269437, 11.642550, 1.568913, 1.568913
5.768961, 11.671311, 1.568913, 1.568913
6.268485, 11.700072, 1.568913, 1.568913
6.768008, 11.728833, 1.568913, 1.568913
7.267532, 11.757594, 1.568913, 1.568913
7.767055, 11.786354, 1.568913, 1.568913
8.265935, 11.764270, 1.568913, 1.568913
8.748322, 11.635396, 1.568913, 1.568913
9.191493, 11.405410, 1.568913, 1.568913
9.603686, 11.121793, 1.568913, 1.568913
10.015399, 10.837464, 1.568913, 1.568913
10.427113, 10.553135, 1.568913, 1.568913
10.838826, 10.268805, 1.568913, 1.568913
11.250539, 9.984476, 1.568913, 1.568913
11.662252, 9.700147, 1.568913, 1.568913
12.073966, 9.415817, 1.568913, 1.568913
12.485679, 9.131488, 1.568913, 1.568913
12.897392, 8.847159, 1.568913, 1.568913
13.309105, 8.562829, 1.568913, 1.568913
13.720819, 8.278500, 1.568913, 1.568913
14.132532, 7.994171, 1.568913, 1.568913
14.544245, 7.709841, 1.568913, 1.568913
14.955958, 7.425512, 1.568913, 1.568913
15.367672, 7.141183, 1.568913, 1.568913
15.779385, 6.856853, 1.568913, 1.568913
16.191098, 6.572524, 1.568913, 1.568913
16.602811, 6.288195, 1.568913, 1.568913
17.014525, 6.003866, 1.568913, 1.568913
17.426238, 5.719536, 1.568913, 1.568913
17.837951, 5.435207, 1.568913, 1.568913
18.249664, 5.150878, 1.568913, 1.568913
18.657107, 4.860651, 1.568913, 1.568913
19.021708, 4.518784, 1.568913, 1.568913
19.326469, 4.122639, 1.568913, 1.568913
19.563428, 3.682565, 1.568913, 1.568913
19.726392, 3.210060, 1.568913, 1.568913
19.811101, 2.717468, 1.568913, 1.568913
19.815319, 2.217660, 1.568913, 1.568913
19.738927, 1.723709, 1.568913, 1.568913
19.583953, 1.248523, 1.568913, 1.568913
19.354447, 0.804516, 1.568913, 1.568913
19.056408, 0.403288, 1.568913, 1.568913
18.697623, 0.055322, 1.568913, 1.568913
18.287466, -0.230292, 1.568913, 1.568913
17.836656, -0.446093, 1.568913, 1.568913
17.356970, -0.586443, 1.568913, 1.568913
16.866559, -0.685673, 1.568913, 1.568913
16.376101, -0.784677, 1.568913, 1.568913
15.885643, -0.883681, 1.568913, 1.568913
15.395185, -0.982685, 1.568913, 1.568913
14.904727, -1.081689, 1.568913, 1.568913
14.414269, -1.180693, 1.568913, 1.568913
13.927450, -1.294685, 1.568913, 1.568913
13.471844, -1.498934, 1.568913, 1.568913
13.070909, -1.796497, 1.568913, 1.568913
12.743455, -2.173412, 1.568913, 1.568913
12.504845, -2.611996, 1.568913, 1.568913
12.366274, -3.091671, 1.568913, 1.568913
12.334243, -3.589933, 1.568913, 1.568913
12.405386, -4.084506, 1.568913, 1.568913
12.504390, -4.574964, 1.568913, 1.568913
12.603394, -5.065422, 1.568913, 1.568913
12.702398, -5.555880, 1.568913, 1.568913
12.801402, -6.046338, 1.568913, 1.568913
12.900406, -6.536796, 1.568913, 1.568913
12.999411, -7.027254, 1.568913, 1.568913
13.098415, -7.517713, 1.568913, 1.568913
13.197419, -8.008171, 1.568913, 1.568913
13.296423, -8.498629, 1.568913, 1.568913
13.394037, -8.989348, 1.568913, 1.568913
13.416356, -9.487742, 1.568913, 1.568913
13.312755, -9.975786, 1.568913, 1.568913
13.089850, -10.422206, 1.568913, 1.568913
12.761678, -10.798139, 1.568913, 1.568913
12.349359, -11.079179, 1.568913, 1.568913
11.879721, -11.247608, 1.568913, 1.568913
11.382864, -11.292659, 1.568913, 1.568913
10.890622, -11.211453, 1.568913, 1.568913
10.434536, -11.009185, 1.568913, 1.568913
10.043837, -10.698793, 1.568913, 1.568913
9.743971, -10.299917, 1.568913, 1.568913
9.554254, -9.838412, 1.568913, 1.568913
9.450818, -9.348959, 1.568913, 1.568913
9.351814, -8.858501, 1.568913, 1.568913
9.252810, -8.368042, 1.568913, 1.568913
9.153806, -7.877584, 1.568913, 1.568913
9.054802, -7.387126, 1.568913, 1.568913
8.955797, -6.896668, 1.568913, 1.568913
8.856793, -6.406210, 1.568913, 1.568913
8.757789, -5.915752, 1.568913, 1.568913
8.658785, -5.425294, 1.568913, 1.568913
8.559781, -4.934836, 1.568913, 1.568913
8.443441, -4.448626, 1.568913, 1.568913
8.234764, -3.994983, 1.568913, 1.568913
7.933304, -3.596923, 1.568913, 1.568913
7.553205, -3.273120, 1.568913, 1.568913
7.112303, -3.038764, 1.568913, 1.568913
6.631286, -2.904847, 1.568913, 1.568913
6.132721, -2.877650, 1.568913, 1.568913
5.638564, -2.952161, 1.568913, 1.568913
5.148106, -3.051165, 1.568913, 1.568913
4.657648, -3.150169, 1.568913, 1.568913
4.167190, -3.249173, 1.568913, 1.568913
3.676732, -3.348177, 1.568913, 1.568913
3.194326, -3.479067, 1.568913, 1.568913
2.738037, -3.683022, 1.568913, 1.568913
2.303220, -3.930566, 1.568913, 1.568913
1.868924, -4.179037, 1.568913, 1.568913
1.434628, -4.427508, 1.568913, 1.568913
1.000332, -4.675980, 1.568913, 1.568913
0.566036, -4.924451, 1.568913, 1.568913
0.131740, -5.172922, 1.568913, 1.568913
-0.302556, -5.421393, 1.568913, 1.568913
-0.736852, -5.669865, 1.568913, 1.568913
-1.171148, -5.918336, 1.568913, 1.568913
-1.605444, -6.166807, 1.568913, 1.568913
