# x_m, y_m, w_tr_right_m, w_tr_left_m
-5.440371, -9.453768, 1.589851, 1.589851
-5.921266, -9.592025, 1.589851, 1.589851
-6.402162, -9.730282, 1.589851, 1.589851
-6.883058, -9.868539, 1.589851, 1.589851
-7.363954, -10.006796, 1.589851, 1.589851
-7.844850, -10.145053, 1.589851, 1.589851
-8.325745, -10.283310, 1.589851, 1.589851
-8.806641, -10.421567, 1.589851, 1.589851
-9.287537, -10.559824, 1.589851, 1.589851
-9.768433, -10.698081, 1.589851, 1.589851
-10.249328, -10.836338, 1.589851, 1.589851
-10.730224, -10.974596, 1.589851, 1.589851
-11.211120, -11.112853, 1.589851, 1.589851
-11.692016, -11.251110, 1.589851, 1.589851
-12.172912, -11.389367, 1.589851, 1.589851
-12.653807, -11.527624, 1.589851, 1.589851
-13.134703, -11.665881, 1.589851, 1.589851
-13.615613, -11.804088, 1.589851, 1.589851
-14.105113, -11.905670, 1.589851, 1.589851
-14.604267, -11.933472, 1.589851, 1.589851
-15.102020, -11.886983, 1.589851, 1.589851
-15.587377, -11.767231, 1.589851, 1.589851
-16.049617, -11.576864, 1.589851, 1.589851
-16.478529, -11.320088, 1.589851, 1.589851
-16.864639, -11.002579, 1.589851, 1.589851
-17.199420, -10.631350, 1.589851, 1.589851
-17.502930, -10.233538, 1.589851, 1.589851
-17.806096, -9.835460, 1.589851, 1.589851
-18.109263, -9.437382, 1.589851, 1.589851
-18.412429, -9.039305, 1.589851, 1.589851
-18.715596, -8.641227, 1.589851, 1.589851
-19.018762, -8.243149, 1.589851, 1.589851
-19.321928, -7.845071, 1.589851, 1.589851
-19.625095, -7.446994, 1.589851, 1.589851
-19.928261, -7.048916, 1.589851, 1.589851
-20.231428, -6.650838, 1.589851, 1.589851
-20.534594, -6.252760, 1.589851, 1.589851
-20.835094, -5.852709, 1.589851, 1.589851
-21.097252, -5.426896, 1.589851, 1.589851
-21.305881, -4.972455, 1.589851, 1.589851
-21.457906, -4.496082, 1.589851, 1.589851
-21.551087, -4.004797, 1.589851, 1.589851
-21.584051, -3.505841, 1.589851, 1.589851
-21.556312, -3.006566, 1.589851, 1.589851
-21.468277, -2.514331, 1.589851, 1.589851
-21.321245, -2.036389, 1.589851, 1.589851
-21.117382, -1.579783, 1.589851, 1.589851
-20.859691, -1.151243, 1.589851, 1.589851
-20.551970, -0.757084, 1.589851, 1.589851
