# x_m, y_m, w_tr_right_m, w_tr_left_m
-7.253782, 3.269569, 1.352692, 1.352692
-7.756106, 3.269569, 1.352692, 1.352692
-8.258429, 3.269569, 1.352692, 1.352692
-8.760752, 3.269569, 1.352692, 1.352692
-9.263076, 3.269569, 1.352692, 1.352692
-9.765399, 3.269569, 1.352692, 1.352692
-10.267723, 3.269569, 1.352692, 1.352692
-10.770046, 3.269569, 1.352692, 1.352692
-11.272370, 3.269569, 1.352692, 1.352692
-11.774693, 3.269569, 1.352692, 1.352692
-12.277016, 3.269569, 1.352692, 1.352692
-12.779340, 3.269569, 1.352692, 1.352692
-13.281663, 3.269569, 1.352692, 1.352692
-13.783987, 3.269569, 1.352692, 1.352692
-14.286310, 3.269569, 1.352692, 1.352692
-14.788634, 3.269569, 1.352692, 1.352692
-15.290957, 3.269569, 1.352692, 1.352692
-15.793280, 3.269569, 1.352692, 1.352692
-16.295604, 3.269569, 1.352692, 1.352692
-16.797927, 3.269569, 1.352692, 1.352692
-17.300251, 3.269569, 1.352692, 1.352692
-17.802574, 3.269569, 1.352692, 1.352692
-18.304898, 3.269569, 1.352692, 1.352692
-18.807221, 3.269569, 1.352692, 1.352692
-19.309544, 3.269569, 1.352692, 1.352692
-19.811868, 3.269569, 1.352692, 1.352692
-20.314191, 3.269569, 1.352692, 1.352692
-20.816515, 3.269569, 1.352692, 1.352692
-21.318834, 3.269060, 1.352692, 1.352692
-21.818312, 3.221921, 1.352692, 1.352692
-22.302903, 3.092038, 1.352692, 1.352692
-22.759001, 2.883059, 1.352692, 1.352692
-23.173796, 2.600853, 1.352692, 1.352692
-23.535642, 2.253346, 1.352692, 1.352692
-23.834377, 1.850295, 1.352692, 1.352692
-24.061614, 1.403019, 1.352692, 1.352692
-24.210970, 0.924079, 1.352692, 1.352692
-24.278253, 0.426923, 1.352692, 1.352692
-24.282508, -0.075322, 1.352692, 1.352692
-24.278216, -0.577566, 1.352692, 1.352692
-24.210809, -1.074705, 1.352692, 1.352692
-24.061334, -1.553609, 1.352692, 1.352692
-23.833986, -2.000828, 1.352692, 1.352692
-23.535150, -2.403805, 1.352692, 1.352692
-23.173217, -2.751223, 1.352692, 1.352692
-22.758352, -3.033326, 1.352692, 1.352692
-22.302202, -3.242191, 1.352692, 1.352692
-21.817577, -3.371954, 1.352692, 1.352692
-21.318087, -3.418969, 1.352692, 1.352692
-20.815768, -3.419466, 1.352692, 1.352692
-20.313444, -3.419466, 1.352692, 1.352692
-19.811121, -3.419466, 1.352692, 1.352692
-19.308797, -3.419466, 1.352692, 1.352692
-18.806474, -3.419466, 1.352692, 1.352692
-18.304150, -3.419466, 1.352692, 1.352692
-17.801827, -3.419466, 1.352692, 1.352692
-17.299504, -3.419466, 1.352692, 1.352692
-16.797180, -3.419466, 1.352692, 1.352692
-16.294857, -3.419466, 1.352692, 1.352692
-15.792533, -3.419466, 1.352692, 1.352692
-15.290210, -3.419466, 1.352692, 1.352692
-14.787886, -3.419466, 1.352692, 1.352692
-14.285563, -3.419466, 1.352692, 1.352692
-13.783240, -3.419466, 1.352692, 1.352692
-13.280918, -3.419718, 1.352692, 1.352692
-12.780638, -3.459441, 1.352692, 1.352692
-12.291783, -3.572993, 1.352692, 1.352692
-11.825282, -3.758060, 1.352692, 1.352692
-11.390724, -4.009236, 1.352692, 1.352692
-10.969446, -4.282829, 1.352692, 1.352692
-10.548167, -4.556422, 1.352692, 1.352692
-10.126889, -4.830016, 1.352692, 1.352692
-9.705246, -5.103038, 1.352692, 1.352692
-9.262067, -5.338450, 1.352692, 1.352692
-8.788853, -5.505486, 1.352692, 1.352692
-8.296082, -5.600447, 1.352692, 1.352692
-7.794639, -5.623230, 1.352692, 1.352692
-7.292315, -5.623230, 1.352692, 1.352692
-6.789992, -5.623230, 1.352692, 1.352692
-6.288879, -5.595174, 1.352692, 1.352692
-5.797321, -5.494099, 1.352692, 1.352692
-5.326192, -5.321189, 1.352692, 1.352692
-4.885956, -5.080222, 1.352692, 1.352692
-4.464663, -4.806652, 1.352692, 1.352692
-4.043384, -4.533058, 1.352692, 1.352692
-3.622106, -4.259465, 1.352692, 1.352692
-3.200827, -3.985872, 1.352692, 1.352692
-2.763426, -3.739806, 1.352692, 1.352692
-2.294615, -3.560810, 1.352692, 1.352692
-1.804428, -3.453369, 1.352692, 1.352692
-1.303715, -3.419466, 1.352692, 1.352692
-0.801391, -3.419466, 1.352692, 1.352692
-0.299068, -3.419466, 1.352692, 1.352692
0.203256, -3.419466, 1.352692, 1.352692
0.705579, -3.419466, 1.352692, 1.352692
1.207903, -3.419466, 1.352692, 1.352692
1.710226, -3.419466, 1.352692, 1.352692
2.212549, -3.419466, 1.352692, 1.352692
2.714873, -3.419466, 1.352692, 1.352692
3.217196, -3.419466, 1.352692, 1.352692
3.719520, -3.419466, 1.352692, 1.352692
4.221843, -3.419466, 1.352692, 1.352692
4.724167, -3.419466, 1.352692, 1.352692
5.226490, -3.419466, 1.352692, 1.352692
5.728813, -3.419466, 1.352692, 1.352692
6.231070, -3.415500, 1.352692, 1.352692
6.729246, -3.355128, 1.352692, 1.352692
7.212945, -3.221485, 1.352692, 1.352692
7.671455, -3.017530, 1.352692, 1.352692
8.099163, -2.754454, 1.352692, 1.352692
8.520947, -2.481641, 1.352692, 1.352692
8.942730, -2.208827, 1.352692, 1.352692
9.364514, -1.936013, 1.352692, 1.352692
9.792304, -1.673075, 1.352692, 1.352692
10.250945, -1.469410, 1.352692, 1.352692
10.734729, -1.336074, 1.352692, 1.352692
11.232943, -1.276018, 1.352692, 1.352692
11.735202, -1.272148, 1.352692, 1.352692
12.237526, -1.272148, 1.352692, 1.352692
12.738719, -1.299002, 1.352692, 1.352692
13.230554, -1.398778, 1.352692, 1.352692
13.702145, -1.570451, 1.352692, 1.352692
14.142973, -1.810338, 1.352692, 1.352692
14.564792, -2.083094, 1.352692, 1.352692
14.986576, -2.355908, 1.352692, 1.352692
15.408360, -2.628722, 1.352692, 1.352692
15.830482, -2.901004, 1.352692, 1.352692
16.273888, -3.135990, 1.352692, 1.352692
16.747264, -3.302565, 1.352692, 1.352692
17.240129, -3.397038, 1.352692, 1.352692
17.741591, -3.419466, 1.352692, 1.352692
18.243914, -3.419466, 1.352692, 1.352692
18.746238, -3.419466, 1.352692, 1.352692
19.248561, -3.419466, 1.352692, 1.352692
19.750885, -3.419466, 1.352692, 1.352692
20.253208, -3.419466, 1.352692, 1.352692
20.755531, -3.419466, 1.352692, 1.352692
21.257767, -3.414832, 1.352692, 1.352692
21.754754, -3.346299, 1.352692, 1.352692
22.233321, -3.195737, 1.352692, 1.352692
22.680028, -2.967374, 1.352692, 1.352692
23.082330, -2.667623, 1.352692, 1.352692
23.428930, -2.304899, 1.352692, 1.352692
23.710096, -1.889390, 1.352692, 1.352692
23.917930, -1.432762, 1.352692, 1.352692
24.046595, -0.947837, 1.352692, 1.352692
24.092479, -0.448232, 1.352692, 1.352692
24.092862, 0.054088, 1.352692, 1.352692
24.079425, 0.555990, 1.352692, 1.352692
23.990738, 1.049805, 1.352692, 1.352692
23.820834, 1.521881, 1.352692, 1.352692
23.574483, 1.958959, 1.352692, 1.352692
23.258602, 2.348767, 1.352692, 1.352692
22.882061, 2.680357, 1.352692, 1.352692
22.455432, 2.944416, 1.352692, 1.352692
21.990694, 3.133528, 1.352692, 1.352692
21.500897, 3.242381, 1.352692, 1.352692
20.999782, 3.269569, 1.352692, 1.352692
20.497459, 3.269569, 1.352692, 1.352692
19.995135, 3.269569, 1.352692, 1.352692
19.492812, 3.269569, 1.352692, 1.352692
18.990488, 3.269569, 1.352692, 1.352692
18.488165, 3.269569, 1.352692, 1.352692
17.985842, 3.269569, 1.352692, 1.352692
17.483905, 3.282881, 1.352692, 1.352692
16.988721, 3.364425, 1.352692, 1.352692
16.511134, 3.518550, 1.352692, 1.352692
16.061717, 3.741838, 1.352692, 1.352692
15.632099, 4.002134, 1.352692, 1.352692
15.202750, 4.262880, 1.352692, 1.352692
14.773401, 4.523626, 1.352692, 1.352692
14.341494, 4.779982, 1.352692, 1.352692
13.882831, 4.983606, 1.352692, 1.352692
13.399035, 5.116905, 1.352692, 1.352692
12.900817, 5.176931, 1.352692, 1.352692
12.398558, 5.180796, 1.352692, 1.352692
11.896234, 5.180796, 1.352692, 1.352692
11.394401, 5.165360, 1.352692, 1.352692
10.899729, 5.080731, 1.352692, 1.352692
10.423116, 4.923526, 1.352692, 1.352692
9.975190, 4.697189, 1.352692, 1.352692
9.545746, 4.436602, 1.352692, 1.352692
9.116397, 4.175856, 1.352692, 1.352692
8.687049, 3.915110, 1.352692, 1.352692
8.254633, 3.659636, 1.352692, 1.352692
7.794572, 3.459105, 1.352692, 1.352692
7.309861, 3.329073, 1.352692, 1.352692
6.811233, 3.272416, 1.352692, 1.352692
6.308951, 3.269569, 1.352692, 1.352692
