# x_m, y_m, w_tr_right_m, w_tr_left_m
-11.734561, 3.884787, 1.214692, 1.214692
-12.236815, 3.884787, 1.214692, 1.214692
-12.739070, 3.884787, 1.214692, 1.214692
-13.241324, 3.884787, 1.214692, 1.214692
-13.743579, 3.884787, 1.214692, 1.214692
-14.245833, 3.884787, 1.214692, 1.214692
-14.748087, 3.884787, 1.214692, 1.214692
-15.250342, 3.884787, 1.214692, 1.214692
-15.752596, 3.884787, 1.214692, 1.214692
-16.254851, 3.884787, 1.214692, 1.214692
-16.757105, 3.884787, 1.214692, 1.214692
-17.259360, 3.884787, 1.214692, 1.214692
-17.761614, 3.884787, 1.214692, 1.214692
-18.263868, 3.884787, 1.214692, 1.214692
-18.766123, 3.884787, 1.214692, 1.214692
-19.268377, 3.884787, 1.214692, 1.214692
-19.770632, 3.884787, 1.214692, 1.214692
-20.272886, 3.884787, 1.214692, 1.214692
-20.775141, 3.884787, 1.214692, 1.214692
-21.275775, 3.849956, 1.214692, 1.214692
-21.766509, 3.745003, 1.214692, 1.214692
-22.237549, 3.571949, 1.214692, 1.214692
-22.679499, 3.334249, 1.214692, 1.214692
-23.083540, 3.036648, 1.214692, 1.214692
-23.441611, 2.685084, 1.214692, 1.214692
-23.746567, 2.286574, 1.214692, 1.214692
-23.992323, 1.849070, 1.214692, 1.214692
-24.173977, 1.381301, 1.214692, 1.214692
-24.287904, 0.892603, 1.214692, 1.214692
-24.331831, 0.392727, 1.214692, 1.214692
-24.332690, -0.109521, 1.214692, 1.214692
-24.316724, -0.611267, 1.214692, 1.214692
-24.234501, -1.106298, 1.214692, 1.214692
-24.083341, -1.584809, 1.214692, 1.214692
-23.866259, -2.037251, 1.214692, 1.214692
-23.587583, -2.454594, 1.214692, 1.214692
-23.252873, -2.828510, 1.214692, 1.214692
-22.868798, -3.151525, 1.214692, 1.214692
-22.442971, -3.417087, 1.214692, 1.214692
-21.983981, -3.619990, 1.214692, 1.214692
-21.500986, -3.756189, 1.214692, 1.214692
-21.003625, -3.822968, 1.214692, 1.214692
-20.501526, -3.830216, 1.214692, 1.214692
