# x_m, y_m, w_tr_right_m, w_tr_left_m
23.405726, 6.825439, 1.555842, 1.555842
23.118909, 7.235245, 1.555842, 1.555842
22.832092, 7.645051, 1.555842, 1.555842
22.545275, 8.054857, 1.555842, 1.555842
22.258458, 8.464663, 1.555842, 1.555842
21.971641, 8.874469, 1.555842, 1.555842
21.684824, 9.284275, 1.555842, 1.555842
21.398007, 9.694081, 1.555842, 1.555842
21.111190, 10.103887, 1.555842, 1.555842
20.824373, 10.513693, 1.555842, 1.555842
20.537556, 10.923499, 1.555842, 1.555842
20.250739, 11.333305, 1.555842, 1.555842
19.963922, 11.743111, 1.555842, 1.555842
19.677105, 12.152917, 1.555842, 1.555842
19.390288, 12.562723, 1.555842, 1.555842
19.103471, 12.972529, 1.555842, 1.555842
18.816654, 13.382335, 1.555842, 1.555842
18.529837, 13.792141, 1.555842, 1.555842
18.243020, 14.201947, 1.555842, 1.555842
17.956203, 14.611753, 1.555842, 1.555842
17.667909, 15.020505, 1.555842, 1.555842
17.330580, 15.388855, 1.555842, 1.555842
16.930011, 15.687206, 1.555842, 1.555842
16.480491, 15.904916, 1.555842, 1.555842
15.998057, 16.034218, 1.555842, 1.555842
15.502152, 16.099455, 1.555842, 1.555842
15.005910, 16.162295, 1.555842, 1.555842
14.509668, 16.225136, 1.555842, 1.555842
14.013426, 16.287977, 1.555842, 1.555842
13.517184, 16.350818, 1.555842, 1.555842
13.020942, 16.413659, 1.555842, 1.555842
12.524700, 16.476500, 1.555842, 1.555842
12.028458, 16.539340, 1.555842, 1.555842
11.533086, 16.607956, 1.555842, 1.555842
11.055029, 16.751987, 1.555842, 1.555842
10.615575, 16.988984, 1.555842, 1.555842
10.232582, 17.309321, 1.555842, 1.555842
9.921612, 17.699990, 1.555842, 1.555842
9.695309, 18.145128, 1.555842, 1.555842
9.563232, 18.626715, 1.555842, 1.555842
9.530559, 19.124986, 1.555842, 1.555842
9.582925, 19.622227, 1.555842, 1.555842
9.645765, 20.118469, 1.555842, 1.555842
9.688640, 20.616272, 1.555842, 1.555842
9.617459, 21.109908, 1.555842, 1.555842
9.423776, 21.569491, 1.555842, 1.555842
9.120172, 21.965169, 1.555842, 1.555842
8.726364, 22.271234, 1.555842, 1.555842
8.267921, 22.467790, 1.555842, 1.555842
7.774613, 22.542045, 1.555842, 1.555842
7.278620, 22.488565, 1.555842, 1.555842
