# x_m, y_m, w_tr_right_m, w_tr_left_m
18.802939, 22.226505, 1.546847, 1.546847
18.382333, 22.497733, 1.546847, 1.546847
17.961727, 22.768960, 1.546847, 1.546847
17.541121, 23.040188, 1.546847, 1.546847
17.120515, 23.311416, 1.546847, 1.546847
16.699908, 23.582644, 1.546847, 1.546847
16.279302, 23.853871, 1.546847, 1.546847
15.858696, 24.125099, 1.546847, 1.546847
15.438090, 24.396327, 1.546847, 1.546847
15.017484, 24.667554, 1.546847, 1.546847
14.596878, 24.938782, 1.546847, 1.546847
14.176272, 25.210010, 1.546847, 1.546847
13.755666, 25.481237, 1.546847, 1.546847
13.335060, 25.752465, 1.546847, 1.546847
12.914454, 26.023693, 1.546847, 1.546847
12.493847, 26.294920, 1.546847, 1.546847
12.073241, 26.566148, 1.546847, 1.546847
11.652635, 26.837376, 1.546847, 1.546847
11.232029, 27.108603, 1.546847, 1.546847
10.797913, 27.357072, 1.546847, 1.546847
10.337973, 27.553619, 1.546847, 1.546847
9.858289, 27.695324, 1.546847, 1.546847
9.365377, 27.780262, 1.546847, 1.546847
8.865931, 27.807280, 1.546847, 1.546847
8.366732, 27.776011, 1.546847, 1.546847
7.874560, 27.686879, 1.546847, 1.546847
7.396099, 27.541095, 1.546847, 1.546847
6.937846, 27.340639, 1.546847, 1.546847
6.506025, 27.088232, 1.546847, 1.546847
6.105912, 26.788013, 1.546847, 1.546847
5.718471, 26.471210, 1.546847, 1.546847
5.331031, 26.154408, 1.546847, 1.546847
4.943590, 25.837605, 1.546847, 1.546847
4.556150, 25.520803, 1.546847, 1.546847
4.168709, 25.204000, 1.546847, 1.546847
3.781269, 24.887198, 1.546847, 1.546847
3.393828, 24.570395, 1.546847, 1.546847
3.006388, 24.253593, 1.546847, 1.546847
2.618947, 23.936790, 1.546847, 1.546847
2.231507, 23.619988, 1.546847, 1.546847
1.844066, 23.303185, 1.546847, 1.546847
1.456626, 22.986383, 1.546847, 1.546847
1.069185, 22.669580, 1.546847, 1.546847
0.681745, 22.352778, 1.546847, 1.546847
0.294305, 22.035975, 1.546847, 1.546847
-0.093136, 21.719173, 1.546847, 1.546847
-0.480576, 21.402370, 1.546847, 1.546847
-0.868017, 21.085568, 1.546847, 1.546847
-1.255457, 20.768766, 1.546847, 1.546847
-1.642898, 20.451963, 1.546847, 1.546847
-2.030338, 20.135161, 1.546847, 1.546847
-2.417779, 19.818358, 1.546847, 1.546847
-2.805219, 19.501556, 1.546847, 1.546847
-3.192660, 19.184753, 1.546847, 1.546847
-3.580100, 18.867951, 1.546847, 1.546847
-3.967541, 18.551148, 1.546847, 1.546847
-4.354981, 18.234346, 1.546847, 1.546847
-4.742422, 17.917543, 1.546847, 1.546847
-5.129862, 17.600741, 1.546847, 1.546847
-5.517303, 17.283938, 1.546847, 1.546847
-5.904743, 16.967136, 1.546847, 1.546847
-6.292184, 16.650333, 1.546847, 1.546847
-6.679624, 16.333531, 1.546847, 1.546847
-7.073105, 16.024518, 1.546847, 1.546847
-7.502420, 15.768191, 1.546847, 1.546847
-7.963078, 15.573167, 1.546847, 1.546847
-8.429596, 15.391962, 1.546847, 1.546847
-8.896114, 15.210757, 1.546847, 1.546847
-9.362632, 15.029553, 1.546847, 1.546847
-9.829150, 14.848348, 1.546847, 1.546847
-10.295667, 14.667144, 1.546847, 1.546847
-10.762185, 14.485939, 1.546847, 1.546847
-11.228703, 14.304735, 1.546847, 1.546847
-11.695221, 14.123530, 1.546847, 1.546847
-12.161738, 13.942325, 1.546847, 1.546847
-12.628256, 13.761121, 1.546847, 1.546847
-13.094774, 13.579916, 1.546847, 1.546847
-13.561292, 13.398712, 1.546847, 1.546847
-14.027810, 13.217507, 1.546847, 1.546847
-14.494327, 13.036303, 1.546847, 1.546847
-14.960845, 12.855098, 1.546847, 1.546847
-15.427363, 12.673893, 1.546847, 1.546847
