# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.175000,-4.975000,1.000000,1.000000
-0.275000,-4.175000,1.000000,1.000000
-0.425000,-3.375000,1.000000,1.000000
-0.675000,-2.625000,1.000000,1.000000
-1.025000,-1.875000,1.000000,1.000000
-1.425000,-1.175000,1.000000,1.000000
-1.975000,-0.575000,1.000000,1.000000
-2.575000,0.025000,1.000000,1.000000
-3.225000,0.475000,1.000000,1.000000
-3.925000,0.875000,1.000000,1.000000
-4.675000,1.175000,1.000000,1.000000
-5.475000,1.375000,1.000000,1.000000
-6.275000,1.475000,1.000000,1.000000
-7.125000,1.475000,1.000000,1.000000
-7.925000,1.375000,1.000000,1.000000
-8.725000,1.175000,1.000000,1.000000
-9.475000,0.875000,1.000000,1.000000
-10.175000,0.475000,1.000000,1.000000
-10.825000,0.025000,1.000000,1.000000
-11.425000,-0.575000,1.000000,1.000000
-11.975000,-1.175000,1.000000,1.000000
-12.375000,-1.875000,1.000000,1.000000
-12.725000,-2.625000,1.000000,1.000000
-12.975000,-3.375000,1.000000,1.000000
-13.125000,-4.175000,1.000000,1.000000
-13.175000,-4.975000,1.000000,1.000000
-13.125000,-5.825000,1.000000,1.000000
-12.975000,-6.625000,1.000000,1.000000
-12.725000,-7.375000,1.000000,1.000000
-12.375000,-8.125000,1.000000,1.000000
-11.975000,-8.825000,1.000000,1.000000
-11.425000,-9.425000,1.000000,1.000000
-10.825000,-10.025000,1.000000,1.000000
-10.175000,-10.475000,1.000000,1.000000
-9.475000,-10.875000,1.000000,1.000000
-8.725000,-11.175000,1.000000,1.000000
-7.925000,-11.375000,1.000000,1.000000
-7.125000,-11.475000,1.000000,1.000000
-6.275000,-11.475000,1.000000,1.000000
-5.475000,-11.375000,1.000000,1.000000
-4.675000,-11.175000,1.000000,1.000000
-3.925000,-10.875000,1.000000,1.000000
-3.225000,-10.475000,1.000000,1.000000
-2.575000,-10.025000,1.000000,1.000000
-1.975000,-9.425000,1.000000,1.000000
-1.425000,-8.825000,1.000000,1.000000
-1.025000,-8.125000,1.000000,1.000000
-0.675000,-7.375000,1.000000,1.000000
-0.425000,-6.625000,1.000000,1.000000
-0.275000,-5.825000,1.000000,1.000000
13.175000,5.025000,1.000000,1.000000
13.075000,5.825000,1.000000,1.000000
12.925000,6.625000,1.000000,1.000000
12.675000,7.375000,1.000000,1.000000
12.325000,8.125000,1.000000,1.000000
11.925000,8.825000,1.000000,1.000000
11.375000,9.425000,1.000000,1.000000
10.775000,10.025000,1.000000,1.000000
10.125000,10.475000,1.000000,1.000000
9.425000,10.875000,1.000000,1.000000
8.675000,11.175000,1.000000,1.000000
7.875000,11.375000,1.000000,1.000000
7.075000,11.475000,1.000000,1.000000
6.225000,11.475000,1.000000,1.000000
5.425000,11.375000,1.000000,1.000000
4.625000,11.175000,1.000000,1.000000
3.875000,10.875000,1.000000,1.000000
3.175000,10.475000,1.000000,1.000000
2.525000,10.025000,1.000000,1.000000
1.925000,9.425000,1.000000,1.000000
1.375000,8.825000,1.000000,1.000000
0.975000,8.125000,1.000000,1.000000
0.625000,7.375000,1.000000,1.000000
0.375000,6.625000,1.000000,1.000000
0.225000,5.825000,1.000000,1.000000
0.175000,5.025000,1.000000,1.000000
0.225000,4.175000,1.000000,1.000000
0.375000,3.375000,1.000000,1.000000
0.625000,2.625000,1.000000,1.000000
0.975000,1.875000,1.000000,1.000000
1.375000,1.175000,1.000000,1.000000
1.925000,0.575000,1.000000,1.000000
2.525000,-0.025000,1.000000,1.000000
3.175000,-0.475000,1.000000,1.000000
3.875000,-0.875000,1.000000,1.000000
4.625000,-1.175000,1.000000,1.000000
5.425000,-1.375000,1.000000,1.000000
6.225000,-1.475000,1.000000,1.000000
7.075000,-1.475000,1.000000,1.000000
7.875000,-1.375000,1.000000,1.000000
8.675000,-1.175000,1.000000,1.000000
9.425000,-0.875000,1.000000,1.000000
10.125000,-0.475000,1.000000,1.000000
10.775000,-0.025000,1.000000,1.000000
11.375000,0.575000,1.000000,1.000000
11.925000,1.175000,1.000000,1.000000
12.325000,1.875000,1.000000,1.000000
12.675000,2.625000,1.000000,1.000000
12.925000,3.375000,1.000000,1.000000
13.075000,4.175000,1.000000,1.000000
