# x_m,y_m,w_tr_right_m,w_tr_left_m
13.500000,0.000000,1.500000,1.500000
13.450000,0.500000,1.500000,1.500000
13.350000,1.050000,1.500000,1.500000
13.250000,1.550000,1.500000,1.500000
13.050000,2.100000,1.500000,1.500000
12.800000,2.600000,1.500000,1.500000
12.550000,3.100000,1.500000,1.500000
12.200000,3.600000,1.500000,1.500000
11.800000,4.050000,1.500000,1.500000
11.350000,4.550000,1.500000,1.500000
10.900000,4.950000,1.500000,1.500000
10.400000,5.400000,1.500000,1.500000
9.800000,5.800000,1.500000,1.500000
9.200000,6.150000,1.500000,1.500000
8.600000,6.500000,1.500000,1.500000
7.900000,6.850000,1.500000,1.500000
7.200000,7.150000,1.500000,1.500000
6.500000,7.400000,1.500000,1.500000
5.700000,7.650000,1.500000,1.500000
4.950000,7.900000,1.500000,1.500000
4.150000,8.050000,1.500000,1.500000
3.350000,8.200000,1.500000,1.500000
2.500000,8.300000,1.500000,1.500000
1.650000,8.400000,1.500000,1.500000
0.800000,8.450000,1.500000,1.500000
0.000000,8.500000,1.500000,1.500000
-0.850000,8.450000,1.500000,1.500000
-1.700000,8.400000,1.500000,1.500000
-2.550000,8.300000,1.500000,1.500000
-3.400000,8.200000,1.500000,1.500000
-4.200000,8.050000,1.500000,1.500000
-5.000000,7.900000,1.500000,1.500000
-5.750000,7.650000,1.500000,1.500000
-6.550000,7.400000,1.500000,1.500000
-7.250000,7.150000,1.500000,1.500000
-7.950000,6.850000,1.500000,1.500000
-8.650000,6.500000,1.500000,1.500000
-9.250000,6.150000,1.500000,1.500000
-9.850000,5.800000,1.500000,1.500000
-10.450000,5.400000,1.500000,1.500000
-10.950000,4.950000,1.500000,1.500000
-11.400000,4.550000,1.500000,1.500000
-11.850000,4.050000,1.500000,1.500000
-12.250000,3.600000,1.500000,1.500000
-12.600000,3.100000,1.500000,1.500000
-12.850000,2.600000,1.500000,1.500000
-13.100000,2.100000,1.500000,1.500000
-13.300000,1.550000,1.500000,1.500000
-13.400000,1.050000,1.500000,1.500000
-13.500000,0.500000,1.500000,1.500000
-13.500000,0.000000,1.500000,1.500000
-13.500000,-0.550000,1.500000,1.500000
-13.400000,-1.100000,1.500000,1.500000
-13.300000,-1.600000,1.500000,1.500000
-13.100000,-2.150000,1.500000,1.500000
-12.850000,-2.650000,1.500000,1.500000
-12.600000,-3.150000,1.500000,1.500000
-12.250000,-3.650000,1.500000,1.500000
-11.850000,-4.100000,1.500000,1.500000
-11.400000,-4.600000,1.500000,1.500000
-10.950000,-5.000000,1.500000,1.500000
-10.450000,-5.450000,1.500000,1.500000
-9.850000,-5.850000,1.500000,1.500000
-9.250000,-6.200000,1.500000,1.500000
-8.650000,-6.550000,1.500000,1.500000
-7.950000,-6.900000,1.500000,1.500000
-7.250000,-7.200000,1.500000,1.500000
-6.550000,-7.450000,1.500000,1.500000
-5.750000,-7.700000,1.500000,1.500000
-5.000000,-7.950000,1.500000,1.500000
-4.200000,-8.100000,1.500000,1.500000
-3.400000,-8.250000,1.500000,1.500000
-2.550000,-8.350000,1.500000,1.500000
-1.700000,-8.450000,1.500000,1.500000
-0.850000,-8.500000,1.500000,1.500000
-0.050000,-8.500000,1.500000,1.500000
0.800000,-8.500000,1.500000,1.500000
1.650000,-8.450000,1.500000,1.500000
2.500000,-8.350000,1.500000,1.500000
3.350000,-8.250000,1.500000,1.500000
4.150000,-8.100000,1.500000,1.500000
4.950000,-7.950000,1.500000,1.500000
5.700000,-7.700000,1.500000,1.500000
6.500000,-7.450000,1.500000,1.500000
7.200000,-7.200000,1.500000,1.500000
7.900000,-6.900000,1.500000,1.500000
8.600000,-6.550000,1.500000,1.500000
9.200000,-6.200000,1.500000,1.500000
9.800000,-5.850000,1.500000,1.500000
10.400000,-5.450000,1.500000,1.500000
10.900000,-5.000000,1.500000,1.500000
11.350000,-4.600000,1.500000,1.500000
11.800000,-4.100000,1.500000,1.500000
12.200000,-3.650000,1.500000,1.500000
12.550000,-3.150000,1.500000,1.500000
12.800000,-2.650000,1.500000,1.500000
13.050000,-2.150000,1.500000,1.500000
13.250000,-1.600000,1.500000,1.500000
13.350000,-1.100000,1.500000,1.500000
13.450000,-0.550000,1.500000,1.500000
