# x_m,y_m,w_tr_right_m,w_tr_left_m
-16.800000,-6.800000,1.200000,1.200000
-16.000000,-6.800000,1.200000,1.200000
-15.200000,-6.800000,1.200000,1.200000
-14.400000,-6.800000,1.200000,1.200000
-13.600000,-6.800000,1.200000,1.200000
-12.800000,-6.800000,1.200000,1.200000
-12.000000,-6.800000,1.200000,1.200000
-11.200000,-6.800000,1.200000,1.200000
-10.400000,-6.800000,1.200000,1.200000
-9.600000,-6.800000,1.200000,1.200000
-8.800000,-6.800000,1.200000,1.200000
-8.000000,-6.800000,1.200000,1.200000
-7.200000,-6.800000,1.200000,1.200000
-6.400000,-6.800000,1.200000,1.200000
-5.600000,-6.800000,1.200000,1.200000
-4.800000,-6.800000,1.200000,1.200000
-4.000000,-6.800000,1.200000,1.200000
-3.200000,-6.800000,1.200000,1.200000
-2.400000,-6.800000,1.200000,1.200000
-1.600000,-6.800000,1.200000,1.200000
-0.800000,-6.800000,1.200000,1.200000
0.000000,-6.800000,1.200000,1.200000
0.800000,-6.800000,1.200000,1.200000
1.600000,-6.800000,1.200000,1.200000
2.400000,-6.800000,1.200000,1.200000
3.200000,-6.800000,1.200000,1.200000
4.000000,-6.800000,1.200000,1.200000
4.800000,-6.800000,1.200000,1.200000
5.600000,-6.800000,1.200000,1.200000
6.400000,-6.800000,1.200000,1.200000
7.200000,-6.800000,1.200000,1.200000
8.000000,-6.800000,1.200000,1.200000
8.800000,-6.800000,1.200000,1.200000
9.600000,-6.800000,1.200000,1.200000
10.400000,-6.800000,1.200000,1.200000
11.200000,-6.800000,1.200000,1.200000
12.000000,-6.800000,1.200000,1.200000
12.800000,-6.800000,1.200000,1.200000
13.600000,-6.800000,1.200000,1.200000
14.400000,-6.800000,1.200000,1.200000
15.200000,-6.800000,1.200000,1.200000
16.000000,-6.800000,1.200000,1.200000
16.800000,-2.000000,1.200000,1.200000
16.760000,-1.600000,1.200000,1.200000
16.720000,-1.240000,1.200000,1.200000
16.640000,-0.840000,1.200000,1.200000
16.520000,-0.440000,1.200000,1.200000
16.360000,-0.080000,1.200000,1.200000
16.200000,0.280000,1.200000,1.200000
16.000000,0.640000,1.200000,1.200000
15.760000,0.960000,1.200000,1.200000
15.480000,1.280000,1.200000,1.200000
